Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Admira,1,32,32,"2,880",32.0,46,1.44,132,92,68.9,6,13,13,6,18.8,6,5,1,0,16.7
Austria Wien,1,32,32,"2,880",32.0,39,1.22,116,83,70.7,11,13,8,6,18.8,6,5,1,0,16.7
Hartberg,3,32,32,"2,880",32.0,47,1.47,141,95,68.8,7,12,13,6,18.8,4,3,0,1,0.0
LASK,1,32,32,"2,880",32.0,42,1.31,128,90,68.8,9,12,11,8,25.0,5,2,2,1,50.0
Rapid Wien,4,32,32,"2,877",32.0,45,1.41,135,96,71.9,10,11,11,5,15.6,7,7,0,0,0.0
RB Salzburg,3,32,32,"2,880",32.0,19,0.59,64,46,71.9,25,5,2,16,50.0,1,1,0,0,0.0
Ried,2,32,32,"2,875",32.0,54,1.69,143,95,65.7,8,13,11,4,12.5,6,5,1,0,16.7
SCR Altach,2,32,32,"2,880",32.0,49,1.53,141,101,69.5,7,8,17,7,21.9,9,6,3,0,33.3
SK Austria Klagenfurt,2,32,32,"2,876",32.0,57,1.78,171,120,69.6,8,12,12,5,15.6,6,5,1,0,16.7
Sturm Graz,1,32,32,"2,880",32.0,46,1.44,106,62,58.5,16,8,8,8,25.0,2,2,0,0,0.0
Wolfsberger AC,2,32,32,"2,880",32.0,53,1.66,172,119,69.2,14,5,13,7,21.9,1,0,0,1,
WSG Tirol,2,32,32,"2,879",32.0,58,1.81,158,105,66.5,10,10,12,8,25.0,5,5,0,0,0.0
