Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Čukarički,2,37,37,"3,330",37.0,,,,,,15,15,7,14,37.8,4,4,0,0,0.0
FK Kolubara,4,37,37,"3,330",37.0,,,,,,14,4,19,10,27.0,3,3,0,0,0.0
Metalac GM,3,37,37,"3,330",37.0,,,,,,8,9,20,6,16.2,4,4,0,0,0.0
Mladost Lučani,3,37,37,"3,330",37.0,,,,,,12,9,16,11,29.7,3,3,0,0,0.0
Napredak Kruš,4,37,37,"3,330",37.0,,,,,,10,8,19,10,27.0,3,3,0,0,0.0
Novi Pazar,3,37,37,"3,330",37.0,,,,,,10,11,16,7,18.9,9,9,0,0,0.0
Partizan,3,37,37,"3,330",37.0,,,,,,31,5,1,25,67.6,0,0,0,0,
Proleter NS,2,37,37,"3,330",37.0,,,,,,8,8,20,11,29.7,4,4,0,0,0.0
Radnički Kragujevac,5,37,37,"3,330",37.0,,,,,,9,8,20,8,21.6,5,5,0,0,0.0
Radnički Niš,3,37,37,"3,330",37.0,,,,,,11,15,10,14,37.8,7,7,0,0,0.0
Radnik Surdulica,3,37,37,"3,330",37.0,,,,,,12,15,10,15,40.5,2,1,1,0,50.0
Red Star,3,37,37,"3,330",37.0,,,,,,32,4,1,20,54.1,0,0,0,0,
Spartak Subotic,4,37,37,"3,330",37.0,,,,,,12,8,17,6,16.2,4,4,0,0,0.0
TSC Bačka Top,2,37,37,"3,330",37.0,,,,,,13,9,15,8,21.6,2,2,0,0,0.0
Vojvodina,3,37,37,"3,330",37.0,,,,,,13,6,18,8,21.6,3,3,0,0,0.0
Voždovac,2,37,37,"3,240",37.0,,,,,,13,10,14,10,27.0,5,5,0,0,0.0
