Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Adana Demirspor,3,38,38,"3,420",38.0,47,1.24,178,137,77.0,15,10,13,10,26.3,7,6,1,0,14.3
Alanyaspor,3,38,38,"3,420",38.0,58,1.53,164,109,66.5,19,7,12,10,26.3,3,3,0,0,0.0
Altay,2,38,38,"3,420",38.0,57,1.50,177,129,72.3,9,7,22,7,18.4,10,8,2,0,20.0
Antalyaspor,2,38,38,"3,420",38.0,47,1.24,131,95,72.5,16,11,11,10,26.3,11,11,0,0,0.0
Başakşehir,2,38,38,"3,420",38.0,36,0.95,138,105,76.1,19,8,11,12,31.6,3,3,0,0,0.0
Beşiktaş,3,38,38,"3,420",38.0,48,1.26,124,83,65.3,15,14,9,10,26.3,7,5,2,0,28.6
Fatih Karagümrük,1,38,38,"3,420",38.0,52,1.37,174,130,74.1,16,9,13,11,28.9,9,7,2,0,22.2
Fenerbahçe,3,38,38,"3,420",38.0,38,1.00,132,99,75.0,21,10,7,12,31.6,7,5,0,2,0.0
Galatasaray,4,38,38,"3,420",38.0,53,1.39,155,109,69.7,14,10,14,9,23.7,8,6,1,1,14.3
Gaziantep FK,3,38,38,"3,420",38.0,54,1.42,165,118,70.3,12,10,16,10,26.3,8,5,2,1,28.6
Giresunspor,3,38,38,"3,420",38.0,47,1.24,141,101,69.5,12,9,17,10,26.3,8,4,4,0,50.0
Göztepe,3,38,38,"3,420",38.0,77,2.03,177,108,61.0,7,7,24,1,2.6,10,8,0,2,0.0
Hatayspor,2,38,38,"3,420",38.0,60,1.58,173,124,69.9,15,8,15,9,23.7,11,8,3,0,27.3
Kasımpaşa,3,38,38,"3,420",38.0,57,1.50,160,107,66.9,15,8,15,8,21.1,4,4,0,0,0.0
Kayserispor,4,38,38,"3,420",38.0,61,1.61,186,130,69.9,12,11,15,9,23.7,6,5,0,1,0.0
Konyaspor,2,38,38,"3,420",38.0,45,1.18,165,126,76.4,20,8,10,13,34.2,6,6,0,0,0.0
Rizespor,3,38,38,"3,420",38.0,71,1.87,194,136,69.6,10,6,22,6,15.8,13,12,1,0,7.7
Sivasspor,3,38,38,"3,420",38.0,50,1.32,138,95,68.8,14,12,12,8,21.1,7,7,0,0,0.0
Trabzonspor,3,38,38,"3,419",38.0,36,0.95,155,127,80.6,23,12,3,12,31.6,11,6,3,2,33.3
Yeni Mal'spor,4,38,38,"3,420",38.0,71,1.87,214,150,69.6,5,5,28,7,18.4,7,6,1,0,14.3
