Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Anderlecht,2,30,30,"2,700",30.0,30,1.00,134,103,79.9,18,9,3,7,23.3,4,3,1,0,25.0
Antwerp,1,30,30,"2,700",30.0,27,0.90,97,71,77.3,14,10,6,12,40.0,5,5,0,0,0.0
Cercle Brugge,1,30,30,"2,700",30.0,34,1.13,123,90,72.4,14,5,11,11,36.7,1,0,1,0,100.0
Charleroi,3,30,30,"2,700",30.0,48,1.60,150,103,71.3,7,8,15,8,26.7,5,5,0,0,0.0
Club Brugge,2,30,30,"2,700",30.0,29,0.97,98,69,70.4,14,9,7,10,33.3,3,0,0,3,
Eupen,2,30,30,"2,700",30.0,58,1.93,167,112,67.7,7,3,20,5,16.7,6,4,1,1,20.0
Genk,1,30,30,"2,700",30.0,31,1.03,116,84,75.0,12,11,7,10,33.3,3,2,1,0,33.3
Gent,3,30,30,"2,700",30.0,38,1.27,122,81,75.4,12,11,7,7,23.3,11,8,3,0,27.3
Kortrijk,2,30,30,"2,700",30.0,57,1.90,168,115,66.7,6,6,18,5,16.7,2,1,0,1,0.0
Mechelen,1,30,30,"2,700",30.0,34,1.13,124,90,73.4,13,6,11,10,33.3,4,1,1,2,50.0
OH Leuven,3,30,30,"2,700",30.0,47,1.57,149,103,73.2,7,8,15,7,23.3,8,7,1,0,12.5
RWD Molenbeek,2,30,30,"2,696",30.0,67,2.24,178,110,69.1,5,8,17,4,13.3,15,12,3,0,20.0
Sint-Truiden,3,30,30,"2,700",30.0,46,1.53,126,80,67.5,10,10,10,7,23.3,5,5,0,0,0.0
Standard Liège,2,30,30,"2,700",30.0,41,1.37,143,101,75.5,8,10,12,5,16.7,7,6,1,0,14.3
Union SG,3,30,30,"2,699",30.0,31,1.03,90,59,68.9,21,7,2,8,26.7,3,3,0,0,0.0
Westerlo,2,30,30,"2,700",30.0,54,1.80,155,103,67.1,7,9,14,5,16.7,3,3,0,0,0.0
