Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Arda,2,36,36,"3,240",36.0,,,,,,14,9,13,14,38.9,3,3,0,0,0.0
Beroe,3,35,35,"3,145",35.0,,,,,,12,6,17,11,31.4,5,5,0,0,0.0
Botev Plovdiv,4,36,36,"3,240",36.0,,,,,,12,9,15,12,33.3,6,6,0,0,0.0
Botev Vratsa,2,35,35,"3,150",35.0,,,,,,9,6,20,9,25.7,6,6,0,0,0.0
Cherno More,2,35,35,"3,150",35.0,,,,,,22,9,4,16,45.7,4,4,0,0,0.0
CSKA 1948,3,36,36,"3,236",36.0,,,,,,13,13,10,14,38.9,3,3,0,0,0.0
CSKA Sofia,2,35,35,"3,144",35.0,,,,,,20,7,8,16,45.7,2,2,0,0,0.0
Etar,3,35,35,"3,150",35.0,,,,,,3,8,24,3,8.6,2,2,0,0,0.0
FK Levski 2005,3,35,35,"3,150",35.0,,,,,,13,10,12,12,34.3,6,6,0,0,0.0
Levski Sofia,3,35,35,"3,150",35.0,,,,,,19,7,9,19,54.3,2,2,0,0,0.0
Loko Plovdiv,3,35,35,"3,150",35.0,,,,,,17,7,11,11,31.4,5,5,0,0,0.0
Lokomotiv Sofia,3,35,35,"3,150",35.0,,,,,,11,6,18,11,31.4,4,4,0,0,0.0
Ludogorets,4,35,35,"3,150",35.0,,,,,,26,4,5,21,60.0,0,0,0,0,
PFC Hebar Pazardzhik,2,35,35,"3,150",35.0,,,,,,9,7,19,9,25.7,2,2,0,0,0.0
Pirin Blagoevgrad,2,35,35,"3,150",35.0,,,,,,7,11,17,8,22.9,5,5,0,0,0.0
Slavia Sofia,3,36,36,"3,240",36.0,,,,,,12,7,17,10,27.8,2,2,0,0,0.0
