Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
Ajax,3,34,34,"3,060",34.0,61,1.79,164,104,64.0,15,11,8,5,14.7,3,2,0,1,0.0
Almere City,2,34,34,"3,060",34.0,59,1.74,188,129,70.2,7,13,14,10,29.4,4,3,1,0,25.0
AZ Alkmaar,3,34,34,"3,060",34.0,39,1.15,134,96,73.9,19,8,7,13,38.2,4,4,0,0,0.0
Excelsior,1,34,34,"3,060",34.0,73,2.15,204,132,65.2,6,11,17,6,17.6,2,2,0,0,0.0
Feyenoord,2,34,34,"3,060",34.0,26,0.76,85,59,70.6,26,6,2,17,50.0,1,1,0,0,0.0
Fortuna Sittard,4,34,34,"3,060",34.0,56,1.65,151,97,64.2,9,11,14,9,26.5,2,2,0,0,0.0
Go Ahead Eag,1,34,34,"3,060",34.0,46,1.35,180,135,75.6,12,10,12,11,32.4,2,2,0,0,0.0
Heerenveen,2,34,34,"3,060",34.0,70,2.06,164,96,59.8,10,7,17,7,20.6,4,4,0,0,0.0
Heracles Almelo,1,34,34,"3,060",34.0,74,2.18,226,153,69.5,9,6,19,4,11.8,5,5,0,0,0.0
NEC Nijmegen,2,34,34,"3,060",34.0,51,1.50,163,111,71.8,14,11,9,7,20.6,6,5,1,0,16.7
PSV Eindhoven,3,34,34,"3,060",34.0,21,0.62,78,59,76.9,29,4,1,18,52.9,3,3,0,0,0.0
RKC Waalwijk,3,34,34,"3,056",34.0,56,1.65,204,149,75.0,7,8,19,5,14.7,7,5,1,1,16.7
Sparta R'dam,1,34,34,"3,060",34.0,48,1.41,161,113,72.0,14,7,13,8,23.5,5,3,1,1,25.0
Twente,2,34,34,"3,060",34.0,36,1.06,129,94,76.0,21,6,7,10,29.4,6,5,1,0,16.7
Utrecht,2,34,34,"3,060",34.0,47,1.38,162,115,74.1,13,11,10,8,23.5,6,5,1,0,16.7
Vitesse,1,34,34,"3,060",34.0,74,2.18,225,150,69.3,6,6,22,3,8.8,7,5,2,0,28.6
Volendam,3,34,34,"3,060",34.0,88,2.59,273,185,68.1,4,7,23,2,5.9,1,1,0,0,0.0
Zwolle,2,34,34,"3,060",34.0,67,1.97,196,131,69.9,9,9,16,5,14.7,10,8,2,0,20.0
