Squad,# of Players,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks)
N/A
N/A
AEK Athens,2,36,36,"3,240",36.0,,,,,,23,9,4,15,41.7,4,4,0,0,0.0
AO Kifisia,3,33,33,"2,970",33.0,,,,,,5,10,17,2,6.1,8,5,3,0,37.5
Aris,2,36,36,"3,240",36.0,,,,,,16,7,13,14,38.9,7,5,2,0,28.6
Asteras Tripoli,5,33,33,"2,970",33.0,,,,,,11,5,17,8,24.2,12,10,1,1,9.1
Atromitos,2,33,33,"2,969",33.0,,,,,,7,13,13,5,15.2,9,7,2,0,22.2
OFI Crete,4,33,33,"2,970",33.0,,,,,,7,14,12,8,24.2,6,4,2,0,33.3
Olympiacos,2,36,36,"3,240",36.0,,,,,,23,5,7,13,36.1,7,5,1,1,16.7
Panathinaikos,3,36,36,"3,240",36.0,,,,,,21,6,8,15,41.7,4,4,0,0,0.0
Panetolikos,3,33,33,"2,970",33.0,,,,,,9,9,15,9,27.3,5,4,0,1,0.0
Panserraikos,3,33,33,"2,970",33.0,,,,,,9,11,13,6,18.2,9,7,2,0,22.2
PAOK,2,36,36,"3,240",36.0,,,,,,25,5,6,13,36.1,3,1,1,1,50.0
PAS Giannina,4,33,33,"2,970",33.0,,,,,,4,11,18,4,12.1,7,4,2,1,33.3
PAS Lamia,3,36,36,"3,240",36.0,,,,,,9,8,19,4,11.1,10,6,2,2,25.0
Volos NFC,4,33,33,"2,970",33.0,,,,,,8,9,15,4,12.1,10,9,1,0,10.0
