Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Arda,30,32.0,81,2,2,,,,,,,,,1
Beroe,28,32.0,82,5,3,,,,,,,,,0
Botev Plovdiv,30,31.0,66,2,1,,,,,,,,,1
Botev Vratsa,37,32.0,95,7,4,,,,,,,,,0
Cherno More,31,31.0,79,5,3,,,,,,,,,4
CSKA 1948,41,32.0,85,8,6,,,,,,,,,3
CSKA Sofia,31,31.0,86,6,4,,,,,,,,,0
Levski Sofia,31,31.0,72,3,1,,,,,,,,,1
Loko Plovdiv,28,32.0,92,7,3,,,,,,,,,1
Lokomotiv Sofia,32,32.0,109,4,3,,,,,,,,,1
Ludogorets,32,31.0,71,1,0,,,,,,,,,1
Pirin Blagoevgrad,36,32.0,94,5,3,,,,,,,,,0
Slavia Sofia,36,31.0,87,7,3,,,,,,,,,1
Tsarsko Selo,46,32.0,91,6,3,,,,,,,,,1
