Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
AEK Athens,29,36.0,73,0,0,,,,,,,,,1
Aris,28,36.0,82,6,4,,,,,,,,,0
Asteras Tripoli,33,33.0,88,4,3,,,,,,,,,1
Atromitos,26,33.0,75,3,2,,,,,,,,,0
Ionikos,30,33.0,101,6,4,,,,,,,,,1
Levadiakos,34,33.0,85,3,3,,,,,,,,,0
OFI Crete,33,33.0,92,3,1,,,,,,,,,4
Olympiacos,42,36.0,66,3,2,,,,,,,,,3
Panathinaikos,27,36.0,70,4,2,,,,,,,,,1
Panetolikos,33,33.0,76,2,1,,,,,,,,,1
PAOK,30,36.0,77,3,0,,,,,,,,,0
PAS Giannina,34,33.0,75,1,1,,,,,,,,,0
PAS Lamia,37,33.0,84,6,4,,,,,,,,,3
Volos NFC,36,36.0,87,5,2,,,,,,,,,1
