Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won
N/A
N/A
Anderlecht,32,30.0,54,2,0,328,359,54,523,282,320,6,4,0,1672,371,390,48.8
Antwerp,27,30.0,44,1,1,294,313,52,557,277,336,8,5,1,1601,354,412,46.2
Cercle Brugge,27,30.0,66,3,2,391,355,73,595,327,403,0,1,2,1913,848,895,48.7
Charleroi,30,30.0,58,4,1,359,297,61,554,336,368,3,5,1,1687,512,556,47.9
Club Brugge,29,30.0,58,3,3,323,312,49,687,263,320,7,3,0,1644,481,374,56.3
Eupen,26,30.0,56,2,1,392,306,74,481,320,342,1,6,4,1520,376,487,43.6
Genk,26,30.0,64,6,3,365,354,75,564,287,309,4,3,0,1662,465,449,50.9
Gent,32,30.0,40,6,1,311,328,48,568,326,377,6,11,0,1715,513,496,50.8
Kortrijk,36,30.0,63,2,1,323,324,41,531,328,325,1,2,4,1586,499,555,47.3
Mechelen,30,30.0,48,0,0,303,286,64,565,301,304,3,4,1,1567,505,448,53.0
OH Leuven,29,30.0,77,2,1,362,330,58,521,266,272,5,8,2,1434,442,487,47.6
RWD Molenbeek,38,30.0,65,6,4,368,278,58,404,318,342,0,15,2,1695,516,420,55.1
Sint-Truiden,25,30.0,46,1,0,282,336,60,485,337,278,3,5,0,1617,420,379,52.6
Standard Liège,34,30.0,55,4,2,336,366,63,534,324,326,2,7,0,1591,479,472,50.4
Union SG,26,30.0,69,2,1,366,340,57,563,349,412,10,3,0,1873,490,458,51.7
Westerlo,32,30.0,64,2,1,335,307,52,499,333,345,7,3,2,1577,439,432,50.4
