Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Cracovia,29,34.0,70,3,1,,,,,,,,,3
Górnik Zabrze,26,34.0,70,7,4,,,,,,,,,1
Jagiellonia,27,34.0,70,2,1,,,,,,,,,0
Korona Kielce,28,34.0,72,1,1,,,,,,,,,2
Lech Poznań,26,34.0,74,3,1,,,,,,,,,3
Legia Warsaw,30,34.0,84,6,3,,,,,,,,,1
Piast Gliwice,29,34.0,74,3,1,,,,,,,,,1
Pogoń Szczecin,29,34.0,67,2,2,,,,,,,,,1
Puszcza Niepołomice,33,34.0,93,4,2,,,,,,,,,1
Radomiak Radom,34,34.0,88,7,3,,,,,,,,,3
RKS Raków,34,34.0,71,3,3,,,,,,,,,2
Ruch Chorzów,37,34.0,76,5,1,,,,,,,,,3
Śląsk Wrocław,31,34.0,75,4,3,,,,,,,,,1
Stal Mielec,26,34.0,61,3,1,,,,,,,,,1
Warta Poznań,30,34.0,72,2,2,,,,,,,,,1
Widzew Łódź,29,34.0,79,3,0,,,,,,,,,1
Zagłębie Lubin,26,34.0,61,6,5,,,,,,,,,1
Łódzki KS,37,34.0,87,6,3,,,,,,,,,1
