Squad,# of Players,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals
N/A
N/A
Čukarički,43,37.0,76,5,1,,,,,,,,,0
FK IMT Novi Beograd,38,37.0,89,3,3,,,,,,,,,1
FK Železničar Pančevo,36,37.0,68,1,0,,,,,,,,,1
Javor Ivanjica,31,37.0,92,6,2,,,,,,,,,1
Mladost Lučani,36,37.0,68,4,1,,,,,,,,,3
Napredak Kruš,36,37.0,84,0,0,,,,,,,,,3
Novi Pazar,40,37.0,94,6,4,,,,,,,,,0
Partizan,32,37.0,78,4,3,,,,,,,,,2
Radnički Kragujevac,37,37.0,109,4,4,,,,,,,,,0
Radnički Niš,40,37.0,78,1,1,,,,,,,,,1
Radnik Surdulica,33,37.0,75,2,1,,,,,,,,,4
Red Star,34,37.0,50,0,0,,,,,,,,,1
Spartak Subotic,38,37.0,62,4,1,,,,,,,,,3
TSC Bačka Top,26,37.0,87,2,1,,,,,,,,,0
Vojvodina,33,37.0,81,3,1,,,,,,,,,2
Voždovac,35,37.0,94,5,1,,,,,,,,,3
