Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Arda,30,36.0,45,,,,,,,,,4,4
Beroe,38,35.0,30,,,,,,,,,4,4
Botev Plovdiv,44,36.0,39,,,,,,,,,4,4
Botev Vratsa,32,35.0,27,,,,,,,,,4,4
Cherno More,31,35.0,38,,,,,,,,,4,4
CSKA 1948,34,35.0,54,,,,,,,,,6,6
CSKA Sofia,30,35.0,64,,,,,,,,,7,7
FC Spartak Varna,40,35.0,31,,,,,,,,,1,1
Levski Sofia,28,35.0,47,,,,,,,,,4,4
Loko Plovdiv,31,35.0,33,,,,,,,,,3,3
Lokomotiv Sofia,29,36.0,36,,,,,,,,,7,7
Ludogorets,32,35.0,80,,,,,,,,,5,5
PFC Hebar Pazardzhik,36,35.0,29,,,,,,,,,2,2
Pirin Blagoevgrad,35,35.0,27,,,,,,,,,6,6
Septemvri Sofia,37,35.0,28,,,,,,,,,3,3
Slavia Sofia,30,36.0,35,,,,,,,,,2,2
