Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
Cracovia,31,34.0,39,,,,,,,,,2,2
Górnik Zabrze,33,34.0,45,,,,,,,,,5,5
Jagiellonia,31,34.0,46,,,,,,,,,4,7
Korona Kielce,34,34.0,38,,,,,,,,,6,7
Lech Poznań,29,34.0,51,,,,,,,,,5,8
Lechia Gdańsk,28,34.0,28,,,,,,,,,5,5
Legia Warsaw,28,34.0,55,,,,,,,,,8,11
Miedź Legnica,31,34.0,33,,,,,,,,,3,5
Piast Gliwice,25,34.0,34,,,,,,,,,3,4
Pogoń Szczecin,30,34.0,53,,,,,,,,,9,9
Radomiak Radom,33,34.0,33,,,,,,,,,4,5
RKS Raków,30,34.0,60,,,,,,,,,6,6
Śląsk Wrocław,29,34.0,32,,,,,,,,,3,5
Stal Mielec,26,34.0,34,,,,,,,,,3,5
Warta Poznań,29,34.0,35,,,,,,,,,2,3
Widzew Łódź,27,34.0,38,,,,,,,,,5,7
Wisła Płock,33,34.0,41,,,,,,,,,2,3
Zagłębie Lubin,31,34.0,34,,,,,,,,,1,3
