Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Penalty Kicks Made,Penalty Kicks Attempted
N/A
N/A
AEK Athens,29,36.0,68,,,,,,,,,8,10
Aris,28,36.0,55,,,,,,,,,4,6
Asteras Tripoli,33,33.0,22,,,,,,,,,2,2
Atromitos,26,33.0,33,,,,,,,,,2,3
Ionikos,30,33.0,22,,,,,,,,,2,2
Levadiakos,34,33.0,23,,,,,,,,,3,4
OFI Crete,33,33.0,35,,,,,,,,,1,1
Olympiacos,42,36.0,69,,,,,,,,,7,9
Panathinaikos,27,36.0,45,,,,,,,,,10,11
Panetolikos,33,33.0,32,,,,,,,,,5,5
PAOK,30,36.0,54,,,,,,,,,7,8
PAS Giannina,34,33.0,32,,,,,,,,,4,6
PAS Lamia,37,33.0,23,,,,,,,,,0,2
Volos NFC,36,36.0,35,,,,,,,,,3,5
