Squad,# of Players,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,Penalty Kicks Made,Penalty Kicks Attempted,xG: Expected Goals,npxG: Non-Penalty xG,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG
N/A
N/A
Arouca,31,34.0,51,459,157,34.2,13.50,4.62,0.10,0.31,19.5,16,3,7,47.6,42.5,0.09,+3.4,+5.5
Benfica,34,34.0,76,581,231,39.8,17.09,6.79,0.12,0.31,16.7,20,4,6,77.0,72.3,0.13,-1.0,-0.3
Boavista,23,34.0,37,334,106,31.7,9.82,3.12,0.10,0.31,18.4,11,4,5,36.1,32.3,0.10,+0.9,+0.7
Braga,25,34.0,70,545,202,37.1,16.03,5.94,0.12,0.32,16.9,15,5,6,63.7,59.7,0.11,+6.3,+5.3
Casa Pia,32,34.0,37,352,115,32.7,10.35,3.38,0.10,0.30,19.5,7,3,4,29.4,26.2,0.08,+7.6,+7.8
Chaves,31,34.0,30,374,111,29.7,11.00,3.26,0.07,0.23,19.2,15,5,6,34.3,29.5,0.08,-4.3,-4.5
Estoril,31,34.0,49,391,135,34.5,11.50,3.97,0.12,0.35,18.4,21,2,2,39.2,37.7,0.10,+9.8,+9.3
Estrela,34,34.0,29,369,105,28.5,10.85,3.09,0.08,0.27,17.6,13,1,1,38.6,37.8,0.11,-9.6,-9.8
Famalicão,27,34.0,37,446,118,26.5,13.12,3.47,0.08,0.29,18.7,24,3,5,35.8,32.0,0.07,+1.2,+2.0
Farense,25,34.0,46,389,142,36.5,11.44,4.18,0.11,0.29,19.1,18,5,7,44.3,39.1,0.10,+1.7,+1.9
Gil Vicente FC,31,34.0,42,351,128,36.5,10.32,3.76,0.10,0.28,18.1,7,6,8,40.5,34.4,0.10,+1.5,+1.6
Moreirense,29,34.0,35,393,110,28.0,11.56,3.24,0.09,0.31,19.4,12,1,3,32.8,30.5,0.08,+2.2,+3.5
Portimonense,31,34.0,39,375,118,31.5,11.03,3.47,0.09,0.29,19.7,22,5,6,35.3,30.6,0.08,+3.7,+3.4
Porto,32,34.0,62,563,177,31.4,16.56,5.21,0.10,0.32,16.9,19,5,8,64.5,58.0,0.11,-2.5,-1.0
Rio Ave,33,34.0,36,346,98,28.3,10.18,2.88,0.08,0.29,18.9,12,8,9,38.7,31.9,0.10,-2.7,-3.9
Sporting CP,29,34.0,93,555,211,38.0,16.32,6.21,0.16,0.42,15.9,13,5,5,72.5,69.2,0.13,+20.5,+18.8
Vitória,27,34.0,49,452,135,29.9,13.29,3.97,0.10,0.33,18.2,11,5,8,45.1,39.0,0.09,+3.9,+5.0
Vizela,31,34.0,34,420,134,31.9,12.35,3.94,0.08,0.24,18.4,15,2,4,40.6,37.4,0.09,-6.6,-5.4
