Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 RB Salzburg,32,25,5,2,77,19,+58,80,2.50,"9,240",Karim Adeyemi - 19,Philipp Köhn,→ Champions League via league finish
 Sturm Graz,32,16,8,8,62,46,+16,56,1.75,"11,636",Jakob Jantscher - 14,Jörg Siebenhandl,→ Champions League via league finish
 Austria Wien,32,11,13,8,44,39,+5,46,1.44,"8,497",Marco Djuricin - 9,Patrick Pentz,→ Europa League via league finish
 Wolfsberger AC,32,14,5,13,48,53,-5,47,1.47,"3,384",Tai Baribo - 11,Alexander Kofler,→ Europa Conference League via league finish
 Rapid Wien,32,10,11,11,48,45,+3,41,1.28,"14,054",Ercan Kara - 9,Paul Gartler,→ Europa Conference League via playoff win
 SK Austria Klagenfurt,32,8,12,12,43,57,-14,36,1.13,"4,508",Markus Pink - 12,Phillip Menzel,
,,,,,,,,,,,,,
 WSG Tirol,32,10,10,12,46,58,-12,40,1.25,"2,485",Giacomo Vrioni - 17,Ferdinand Oswald,
 LASK,32,9,12,11,44,42,+2,39,1.22,"5,052","Thomas Goiginger, Sascha Horvath - 7",Alexander Schlager,
 SCR Altach,32,7,8,17,24,49,-25,29,0.91,"3,375",Atdhe Nuhiu - 5,Tino Casali,
 Ried,32,8,13,11,40,54,-14,37,1.16,"3,830",Ante Bajic - 9,Samuel Şahin-Radlinger,
 Hartberg,32,7,12,13,43,47,-4,33,1.03,"2,036",Dario Tadić - 10,René Swete,
 Admira,32,6,13,13,36,46,-10,31,0.97,"1,814",Roman Kerschbaum - 9,Andreas Leitner,Relegated
