Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Bruk-Bet Termalica Nieciecza,38,26.8,,34,374,"3,060",34.0,35,21,56,27,8,13,81,1,1.03,0.62,1.65,0.79,1.41
Cracovia,33,26.1,,34,374,"3,060",34.0,38,27,65,37,1,3,75,2,1.12,0.79,1.91,1.09,1.88
Górnik Zabrze,30,26.1,,34,374,"3,060",34.0,54,40,94,53,1,1,68,1,1.59,1.18,2.76,1.56,2.74
Górnik Łęczna,33,28.6,,34,374,"3,060",34.0,27,21,48,25,2,2,75,4,0.79,0.62,1.41,0.74,1.35
Jagiellonia,38,27.3,,34,374,"3,060",34.0,39,29,68,37,2,3,87,3,1.15,0.85,2.00,1.09,1.94
Lech Poznań,28,26.9,,34,374,"3,060",34.0,66,50,116,62,4,5,51,2,1.94,1.47,3.41,1.82,3.29
Lechia Gdańsk,31,27.7,,34,374,"3,060",34.0,48,33,81,44,4,5,73,1,1.41,0.97,2.38,1.29,2.26
Legia Warsaw,39,26.5,,34,374,"3,060",34.0,42,35,77,41,1,1,95,5,1.24,1.03,2.26,1.21,2.24
Piast Gliwice,29,27.0,,34,374,"3,060",34.0,42,30,72,39,3,5,50,0,1.24,0.88,2.12,1.15,2.03
Pogoń Szczecin,27,27.1,,34,374,"3,060",34.0,59,41,100,52,7,7,63,3,1.74,1.21,2.94,1.53,2.74
Radomiak Radom,29,27.9,,34,374,"3,060",34.0,40,22,62,31,9,11,72,4,1.18,0.65,1.82,0.91,1.56
RKS Raków,36,25.8,,34,374,"3,060",34.0,57,35,92,48,9,12,78,4,1.68,1.03,2.71,1.41,2.44
Śląsk Wrocław,33,27.4,,34,374,"3,060",34.0,41,29,70,36,5,6,72,5,1.21,0.85,2.06,1.06,1.91
Stal Mielec,35,26.8,,34,374,"3,060",34.0,39,27,66,31,8,10,78,3,1.15,0.79,1.94,0.91,1.71
Warta Poznań,34,26.8,,34,374,"3,060",34.0,34,20,54,32,2,5,70,2,1.00,0.59,1.59,0.94,1.53
Wisła Kraków,34,26.1,,34,374,"3,060",34.0,36,27,63,34,2,2,69,4,1.06,0.79,1.85,1.00,1.79
Wisła Płock,32,27.2,,34,374,"3,060",34.0,46,39,85,43,3,3,95,5,1.35,1.15,2.50,1.26,2.41
Zagłębie Lubin,39,25.5,,34,374,"3,060",34.0,41,29,70,35,6,8,82,4,1.21,0.85,2.06,1.03,1.88
