Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,xG/90,xAG/90,xG + xAG/90,npxG/90,npxG + xAG/90
N/A
N/A
Arouca,35,27.0,49.9,34,374,"3,060",34.0,30,18,48,28,2,3,97,6,35.1,32.7,23.9,56.7,410,1187,0.88,0.53,1.41,0.82,1.35,1.03,0.70,1.74,0.96,1.67
B-SAD,37,25.4,43.5,34,372,"3,060",34.0,22,11,33,19,3,3,118,11,30.9,28.6,20.7,49.3,329,850,0.65,0.32,0.97,0.56,0.88,0.91,0.61,1.52,0.84,1.45
Benfica,35,27.0,60.9,34,374,"3,060",34.0,77,58,135,72,5,5,81,3,73.1,69.1,54.9,124.0,800,1819,2.26,1.71,3.97,2.12,3.82,2.15,1.62,3.76,2.03,3.65
Boavista,28,26.3,44.6,34,371,"3,060",34.0,39,28,67,36,3,4,120,10,35.3,32.2,24.3,56.5,477,841,1.15,0.82,1.97,1.06,1.88,1.04,0.71,1.75,0.95,1.66
Braga,40,25.0,53.7,34,374,"3,060",34.0,52,34,86,47,5,6,83,5,53.1,48.3,37.1,85.4,568,1391,1.53,1.00,2.53,1.38,2.38,1.56,1.09,2.65,1.42,2.51
Estoril,31,25.1,47.4,34,374,"3,060",34.0,35,25,60,29,6,7,101,8,35.6,30.2,24.1,54.3,501,1176,1.03,0.74,1.76,0.85,1.59,1.05,0.71,1.76,0.89,1.60
Famalicão,37,23.7,47.4,34,374,"3,060",34.0,43,32,75,40,3,5,104,5,47.4,44.2,32.9,77.1,519,1201,1.26,0.94,2.21,1.18,2.12,1.39,0.97,2.36,1.30,2.27
Gil Vicente FC,29,25.9,54.4,34,374,"3,060",34.0,47,32,79,44,3,5,88,4,42.5,38.8,31.6,70.3,479,1429,1.38,0.94,2.32,1.29,2.24,1.25,0.93,2.18,1.14,2.07
Marítimo,30,27.2,48.7,34,374,"3,060",34.0,38,21,59,33,5,7,110,8,34.7,29.9,22.0,52.0,466,996,1.12,0.62,1.74,0.97,1.59,1.02,0.65,1.67,0.88,1.53
Moreirense,29,27.0,44.4,34,374,"3,060",34.0,32,19,51,28,4,7,114,6,43.2,37.6,24.3,61.9,434,1029,0.94,0.56,1.50,0.82,1.38,1.27,0.71,1.98,1.11,1.82
Paços,30,27.0,49.0,34,374,"3,060",34.0,28,17,45,24,4,5,107,5,33.9,30.0,21.3,51.3,420,992,0.82,0.50,1.32,0.71,1.21,1.00,0.63,1.62,0.88,1.51
Portimonense,35,25.4,48.5,34,374,"3,060",34.0,28,18,46,26,2,4,114,7,34.5,31.4,23.8,55.3,462,1056,0.82,0.53,1.35,0.76,1.29,1.02,0.70,1.72,0.92,1.63
Porto,33,25.8,62.6,34,374,"3,060",34.0,83,54,137,77,6,9,81,6,83.3,76.9,59.3,136.2,686,1554,2.44,1.59,4.03,2.26,3.85,2.45,1.74,4.19,2.26,4.01
Santa Clara,32,26.8,45.8,34,374,"3,060",34.0,36,22,58,32,4,4,101,9,38.4,35.2,26.9,62.1,384,967,1.06,0.65,1.71,0.94,1.59,1.13,0.79,1.92,1.04,1.83
Sporting CP,31,26.6,59.8,34,374,"3,060",34.0,71,45,116,62,9,11,99,6,71.0,62.7,48.6,111.3,705,1563,2.09,1.32,3.41,1.82,3.15,2.09,1.43,3.52,1.84,3.27
Tondela,27,25.4,45.9,34,374,"3,060",34.0,41,25,66,32,9,9,101,6,35.1,28.5,22.1,50.5,411,964,1.21,0.74,1.94,0.94,1.68,1.03,0.65,1.68,0.84,1.49
Vitória,31,24.7,48.7,34,374,"3,060",34.0,50,25,75,40,10,11,120,8,49.3,42.8,31.8,74.6,534,1273,1.47,0.74,2.21,1.18,1.91,1.45,0.93,2.38,1.26,2.19
Vizela,31,26.5,44.8,34,373,"3,060",34.0,36,23,59,33,3,3,99,6,41.5,39.1,27.8,66.9,418,1167,1.06,0.68,1.74,0.97,1.65,1.22,0.82,2.04,1.15,1.97
