Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Red Star,30,26,3,1,79,17,+62,81,2.70,,Aleksandar Katai - 24,Milan Borjan,→ Championship round 
 Partizan,30,25,4,1,68,10,+58,79,2.63,,Ricardo Jorge Pires Gomes - 29,Nemanja Stevanović,→ Championship round 
 Čukarički,30,14,12,4,48,27,+21,54,1.80,,"Marko Rakonjac, Đorđe Jovanović - 11",Đorđe Petrović,→ Championship round 
 TSC Bačka Top,30,11,8,11,44,41,+3,41,1.37,,Stefan Vukić - 11,Nenad Filipović,→ Championship round 
 Radnički Niš,30,9,13,8,32,33,-1,40,1.33,,Stefan Mitrović - 10,Damir Kahriman,→ Championship round 
 Voždovac,30,11,7,12,41,37,+4,40,1.33,,Nikola Vujnović - 10,Miloje Preković,→ Championship round 
 Vojvodina,30,11,6,13,38,40,-2,39,1.30,,Veljko Simić - 10,Nikola Simić,→ Championship round 
 Napredak Kruš,30,10,7,13,31,36,-5,37,1.23,,Saša Marjanović - 7,Nikola Vasiljević,→ Championship round 
,,,,,,,,,,,,,
 Mladost Lučani,30,10,6,14,38,44,-6,36,1.20,,Milan Bojović - 9,Ivan Kostić,→ Relegation round 
 Radnik Surdulica,30,8,12,10,24,31,-7,36,1.20,,Uroš Milovanović - 12,Stefan Ranđelović,→ Relegation round 
 Spartak Subotic,30,9,7,14,35,49,-14,34,1.13,,Nemanja Nikolić - 11,Mišo Dubljanić,→ Relegation round 
 FK Kolubara,30,10,4,16,32,56,-24,34,1.13,,Uroš Đuranović - 13,Dejan Stanivuković,→ Relegation round 
 Radnički Kragujevac,30,8,6,16,27,50,-23,30,1.00,,Marko Mirić - 9,Ognjen Lukić,→ Relegation round 
 Proleter NS,30,8,5,17,23,49,-26,29,0.97,,Stefan Tomović - 8,Nikola Petrić,→ Relegation round 
 Metalac GM,30,7,6,17,36,52,-16,27,0.90,,Damjan Krajišnik - 6,Dušan Marković,→ Relegation round 
 Novi Pazar,30,5,10,15,25,49,-24,25,0.83,,Almir Aganspahić - 7,Nikola Vujanac,→ Relegation round 
