Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
AEK Athens,31,28.8,,36,396,"3,240",36.0,56,37,93,51,5,7,88,4,1.56,1.03,2.58,1.42,2.44
Apollon Smyrnis,34,29.8,,33,363,"2,970",33.0,16,10,26,15,1,3,89,8,0.48,0.30,0.79,0.45,0.76
Aris,29,29.1,,36,396,"3,240",36.0,39,25,64,32,7,8,80,2,1.08,0.69,1.78,0.89,1.58
Asteras Tripoli,27,26.8,,33,363,"2,970",33.0,33,25,58,31,2,2,79,5,1.00,0.76,1.76,0.94,1.70
Atromitos,31,28.0,,33,363,"2,970",33.0,33,17,50,29,4,5,65,4,1.00,0.52,1.52,0.88,1.39
Ionikos,30,29.3,,33,363,"2,970",33.0,43,30,73,41,2,2,84,4,1.30,0.91,2.21,1.24,2.15
OFI Crete,31,27.5,,33,363,"2,970",33.0,38,16,54,33,5,8,95,3,1.15,0.48,1.64,1.00,1.48
Olympiacos,35,28.0,,36,396,"3,240",36.0,61,32,93,55,6,8,53,0,1.69,0.89,2.58,1.53,2.42
Panathinaikos,28,28.3,,36,396,"3,240",36.0,50,32,82,42,8,10,81,4,1.39,0.89,2.28,1.17,2.06
Panetolikos,29,26.9,,33,363,"2,970",33.0,32,17,49,30,2,3,70,0,0.97,0.52,1.48,0.91,1.42
PAOK,33,27.9,,36,396,"3,240",36.0,56,27,83,43,13,15,82,2,1.56,0.75,2.31,1.19,1.94
PAS Giannina,26,27.1,,36,396,"3,240",36.0,33,18,51,27,6,7,73,0,0.92,0.50,1.42,0.75,1.25
PAS Lamia,30,28.8,,33,363,"2,970",33.0,22,11,33,19,3,3,67,1,0.67,0.33,1.00,0.58,0.91
Volos NFC,28,27.7,,33,363,"2,970",33.0,47,27,74,43,4,6,87,5,1.42,0.82,2.24,1.30,2.12
