Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Panathinaikos,26,19,4,3,38,12,+26,61,2.35,,Andraž Šporar - 11,Alberto Brignoli,→ Championship round 
 AEK Athens,26,19,2,5,51,14,+37,59,2.27,,Levi Garcia - 14,Giorgos Athanasiadis,→ Championship round 
 Olympiacos,26,16,8,2,53,14,+39,56,2.15,,Cédric Bakambu - 18,Alexandros Paschalakis,→ Championship round 
 PAOK,26,15,9,2,43,15,+28,54,2.08,,"Brandon, Andrija Živković... - 7",Dominik Kotarski,→ Championship round 
 Aris,26,12,4,10,38,24,+14,40,1.54,,Luis Enrique Palma - 11,Julián Cuesta,→ Championship round 
 Volos NFC,26,11,6,9,31,38,-7,39,1.50,,"Ognjen Ožegović, Miloš Deletić - 6",Boris Klaiman,→ Championship round 
,,,,,,,,,,,,,
 Atromitos,26,7,8,11,25,29,-4,29,1.12,,Viðar Örn Kjartansson - 6,Andreas Gianniotis,→ Relegation round 
 Panetolikos,26,7,8,11,26,38,-12,29,1.12,,Nikos Karelis - 13,Giannis Anestis,→ Relegation round 
 OFI Crete,26,6,8,12,23,34,-11,26,1.00,,Jon Toral - 8,Christos Mandas,→ Relegation round 
 Asteras Tripoli,26,4,13,9,19,30,-11,25,0.96,,"Léo Tilica, Xesc Regis - 3",Nikos Papadopoulos,→ Relegation round 
 PAS Giannina,26,4,11,11,24,41,-17,23,0.88,,Rodrigo Erramuspe - 9,Panagiotis Tsintotas,→ Relegation round 
 Ionikos,26,4,6,16,16,42,-26,18,0.69,,Vassilis Mantzis - 6,Lefteris Choutesiotis,→ Relegation round 
 Levadiakos,26,3,8,15,14,38,-24,17,0.65,,Giorgos Nikas - 6,Matej Marković,→ Relegation round 
 PAS Lamia,26,2,11,13,13,45,-32,17,0.65,,"Nikos Vergos, Tomas De Vincenti - 4",Bojan Šaranov,→ Relegation round 
