Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Galatasaray,36,28,4,4,83,27,+56,88,2.44,"44,617",Mauro Icardi - 22,Fernando Muslera,→ Champions League via league finish
 Fenerbahçe,36,25,5,6,87,42,+45,80,2.22,,Enner Valencia - 29,Altay Bayındır,→ Europa Conference League via league finish
 Beşiktaş,36,23,9,4,78,36,+42,78,2.17,,Cenk Tosun - 15,Mert Günok,→ Europa Conference League via league finish
 Adana Demirspor,36,20,9,7,76,45,+31,69,1.92,,Younès Belhanda - 12,Ertaç Özbir,→ Europa Conference League via league finish
 Başakşehir,36,18,8,10,54,37,+17,62,1.72,,Danijel Aleksić - 8,Volkan Babacan,
 Trabzonspor,36,17,6,13,64,54,+10,57,1.58,,Trézéguet - 11,Uğurcan Çakır,
 Fatih Karagümrük,36,13,12,11,75,63,+12,51,1.42,,Mbaye Diagne - 23,Ahmet Şen,
 Konyaspor,36,12,15,9,49,41,+8,51,1.42,,Mame Biram Diouf - 9,Ibrahim Šehić,
 Kayserispor,36,15,5,16,55,61,-6,50,1.39,,Mame Baba Thiam - 8,Bilal Bayazit,
 Kasımpaşa,36,12,7,17,45,61,-16,43,1.19,,Mamadou Fall - 8,Ertuğrul Taşkıran,
 Ankaragücü,36,12,6,18,43,53,-10,42,1.17,,Ali Sowe - 12,Gökhan Akkan,
 İstanbulspor,36,12,5,19,47,63,-16,41,1.14,,Valon Ethemi - 12,David Jensen,
 Antalyaspor,36,11,8,17,46,55,-9,41,1.14,,Haji Wright - 15,Helton Leite,
 Sivasspor,36,11,8,17,46,54,-8,41,1.14,"3,984",Max Gradel - 7,Ali Şaşal Vural,
 Alanyaspor,36,11,8,17,54,70,-16,41,1.14,,Koka - 10,Rúnar Alex Rúnarsson,
 Giresunspor,36,10,10,16,42,60,-18,40,1.11,,Riad Bajić - 14,Onurcan Piri,Relegated
 Ümraniyespor,36,7,9,20,47,64,-17,30,0.83,,Umut Nayir - 17,Orkun Özdemir,Relegated
 Gaziantep FK,36,6,7,23,31,72,-41,25,0.69,,João Figueiredo - 7,Günay Güvenç,Relegated
 Hatayspor,36,6,5,25,19,83,-64,23,0.64,"8,960",Ayoub El Kaabi - 8,Erce Kardeşler,Relegated
