Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Austria Wien,28,25.9,57.3,32,352,"2,880",32.0,35,25,60,31,4,7,88,9,1.09,0.78,1.87,0.97,1.75
Blau-Weiß Linz,25,25.6,44.2,32,352,"2,880",32.0,32,23,55,28,4,4,69,1,1.00,0.72,1.72,0.87,1.59
Hartberg,23,24.7,52.2,32,352,"2,880",32.0,47,35,82,45,2,3,70,7,1.47,1.09,2.56,1.41,2.50
LASK,30,25.9,54.8,32,352,"2,880",32.0,42,27,69,38,4,6,72,1,1.31,0.84,2.16,1.19,2.03
Rapid Wien,31,24.2,53.6,32,352,"2,880",32.0,45,33,78,37,8,8,69,4,1.41,1.03,2.44,1.16,2.19
RB Salzburg,30,22.1,58.6,32,352,"2,880",32.0,73,47,120,71,2,2,54,2,2.28,1.47,3.75,2.22,3.69
SC Austria Lustenau,30,24.9,40.3,32,352,"2,880",32.0,22,14,36,20,2,4,67,6,0.69,0.44,1.13,0.62,1.06
SCR Altach,29,26.3,43.5,32,352,"2,880",32.0,26,15,41,23,3,3,91,3,0.81,0.47,1.28,0.72,1.19
SK Austria Klagenfurt,23,26.8,48.0,32,352,"2,880",32.0,39,27,66,36,3,4,66,0,1.22,0.84,2.06,1.13,1.97
Sturm Graz,27,24.2,49.9,32,352,"2,880",32.0,55,36,91,53,2,4,60,6,1.72,1.13,2.84,1.66,2.78
Wolfsberger AC,28,24.6,50.0,32,352,"2,880",32.0,40,26,66,34,6,7,77,3,1.25,0.81,2.06,1.06,1.87
WSG Tirol,27,24.2,48.3,32,352,"2,880",32.0,27,18,45,25,2,3,74,5,0.84,0.56,1.41,0.78,1.34
