Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Ludogorets,35,26,4,5,87,24,+63,82,2.34,"4,750","Rwan, Kwadwo Duah - 13",Sergio Padt,→ Champions League via league finish
 Cherno More,35,22,9,4,56,26,+30,75,2.14,"2,900",Atanas Iliev - 12,Ivan Dyulgerov,→ Europa Conference League via league finish
 CSKA Sofia,35,20,7,8,56,27,+29,67,1.91,"3,700",Jonathan Lindseth - 9,Gustavo Busatto,
 Levski Sofia,35,19,7,9,50,30,+20,64,1.83,"5,200",Ricardinho - 9,Plamen Andreev,
 Loko Plovdiv,35,17,7,11,53,44,+9,58,1.66,"5,000",Giovanny - 7,Dinko Horkaš,
 FK Levski 2005,35,13,10,12,45,45,0,49,1.40,485,Aleksandar Kolev - 15,Yanko Georgiev,
,,,,,,,,,,,,,
 CSKA 1948,36,13,13,10,35,30,+5,52,1.44,135,Pedrinho - 8,Daniel Naumov,→ Europa Conference League via playoff win
 Arda,36,14,9,13,39,35,+4,51,1.42,807,Tonislav Yordanov - 7,Anatoli Gospodinov,
 Botev Plovdiv,36,12,9,15,50,42,+8,45,1.25,"2,850",Antoine Baroan - 8,Hidajet Hankić,→ Europa League via cup win
 Slavia Sofia,36,12,7,17,35,51,-16,43,1.19,167,Toni Tasev - 9,Svetoslav Vutsov,
,,,,,,,,,,,,,
 Beroe,35,12,6,17,30,46,-16,42,1.20,415,Vinni Triboulet - 8,Rodrigo Garcìa,
 Lokomotiv Sofia,35,11,6,18,30,58,-28,39,1.11,360,"Dimitar Mitkov, França - 5",Aleksandar Lyubenov,
 PFC Hebar Pazardzhik,35,9,7,19,35,49,-14,34,0.97,"1,400",Georgi Nikolov - 8,Petar Debarliev,
 Botev Vratsa,35,9,6,20,28,56,-28,33,0.94,"1,100",Brayan Perea - 6,Federico Barrios,
 Pirin Blagoevgrad,35,7,11,17,26,48,-22,32,0.91,980,"Chris Hamilton, Ivan Tasev - 4",Maksym Kovalov,
 Etar,35,3,8,24,22,66,-44,17,0.49,440,Ivan Vasilev - 4,Martin Velickov,
