Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
AGF,30,26.3,48.8,32,352,"2,880",32.0,40,26,66,36,4,5,68,3,1.25,0.81,2.06,1.13,1.94
Brøndby,31,26.9,54.7,32,352,"2,880",32.0,59,46,105,55,4,4,55,3,1.84,1.44,3.28,1.72,3.16
FC Copenhagen,28,26.0,53.9,32,352,"2,880",32.0,63,45,108,57,6,7,54,1,1.97,1.41,3.38,1.78,3.19
Hvidovre IF,29,27.5,51.2,32,352,"2,880",32.0,26,19,45,24,2,3,66,1,0.81,0.59,1.41,0.75,1.34
Lyngby,34,25.8,46.9,32,352,"2,880",32.0,37,26,63,34,3,4,54,2,1.16,0.81,1.97,1.06,1.87
Midtjylland,35,25.9,47.0,32,352,"2,880",32.0,61,34,95,55,6,11,68,4,1.91,1.06,2.97,1.72,2.78
Nordsjælland,28,23.9,57.5,32,352,"2,880",32.0,58,43,101,55,3,5,49,0,1.81,1.34,3.16,1.72,3.06
Odense,30,25.1,49.0,32,352,"2,880",32.0,37,26,63,35,2,2,63,1,1.16,0.81,1.97,1.09,1.91
Randers,31,25.6,48.8,32,352,"2,880",32.0,39,30,69,36,3,4,55,2,1.22,0.94,2.16,1.13,2.06
Silkeborg,28,24.8,53.0,32,352,"2,880",32.0,38,28,66,36,2,3,39,1,1.19,0.87,2.06,1.13,2.00
Vejle BK,30,26.3,40.1,32,352,"2,880",32.0,31,27,58,31,0,2,77,3,0.97,0.84,1.81,0.97,1.81
Viborg,29,23.6,49.7,32,352,"2,880",32.0,38,30,68,38,0,1,56,2,1.19,0.94,2.12,1.19,2.12
