Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Attendance/Game,Top Team Scorer,Goalkeeper,Notes

 Jagiellonia,34,18,9,7,77,45,+32,63,1.85,"13,744","Jesús Imaz, Afimico Pululu - 12",Zlatan Alomerović,→ Champions League via league finish
 Śląsk Wrocław,34,18,9,7,50,31,+19,63,1.85,"22,478",Erik Expósito - 19,Rafał Leszczyński,→ Europa Conference League via league finish
 Legia Warsaw,34,16,11,7,51,39,+12,59,1.74,"24,716",Josué Pesqueira - 9,Kacper Tobiasz,→ Europa Conference League via league finish
 Pogoń Szczecin,34,16,7,11,59,38,+21,55,1.62,"17,267",Kamil Grosicki - 13,Valentin Cojocaru,
 Lech Poznań,34,14,11,9,47,41,+6,53,1.56,"24,852",Mikael Ishak - 11,Bartosz Mrozek,
 Górnik Zabrze,34,15,8,11,45,41,+4,53,1.56,"16,759","Daisuke Yokota, Adrián Kaprálik - 7",Daniel Bielica,
 RKS Raków,34,14,10,10,54,39,+15,52,1.53,"5,318",Ante Crnac - 8,Vladen Kovačević,
 Zagłębie Lubin,34,13,8,13,43,50,-7,47,1.38,"6,414",Dawid Kurminowski - 12,Sokratis Dioudis,
 Widzew Łódź,34,13,7,14,45,46,-1,46,1.35,"16,166","Bartłomiej Pawłowski, Jordi Sánchez - 8",Henrich Ravas,
 Piast Gliwice,34,9,16,9,38,35,+3,43,1.26,"5,090",Patryk Dziczek - 8,František Plach,
 Stal Mielec,34,11,10,13,42,48,-6,43,1.26,"5,708",Ilya Shkurin - 16,Mateusz Kochalski,
 Puszcza Niepołomice,34,9,13,12,39,49,-10,40,1.18,"2,793",Artur Crăciun - 7,Oliwier Zych,
 Cracovia,34,8,15,11,45,46,-1,39,1.15,"9,049",Benjamin Källman - 9,Sebastian Madejski,
 Korona Kielce,34,8,14,12,40,44,-4,38,1.12,"10,720",Yevgeniy Shikavka - 10,Xavier Dziekonski,
 Radomiak Radom,34,10,8,16,41,58,-17,38,1.12,"7,740",Pedro - 8,Albert Posiadala,
 Warta Poznań,34,9,10,15,33,43,-10,37,1.09,"3,790",Kajetan Szmyt - 7,Jędrzej Grobelny,Relegated
 Ruch Chorzów,34,6,14,14,40,55,-15,32,0.94,"17,557",Daniel Szczepan - 10,Dante Stipica,Relegated
 Łódzki KS,34,6,6,22,34,75,-41,24,0.71,"9,708",Dani Ramírez - 9,Alexander Bobek,Relegated
