Squad,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,npxG + xAG/90
N/A
N/A
Čukarički,43,25.3,,37,407,"3,330",37.0,56,43,99,53,3,4,76,5,1.51,1.16,2.68,1.43,2.59
FK IMT Novi Beograd,38,23.9,,37,407,"3,330",37.0,41,20,61,36,5,7,89,3,1.11,0.54,1.65,0.97,1.51
FK Železničar Pančevo,36,27.5,,37,407,"3,330",37.0,45,29,74,41,4,6,68,1,1.22,0.78,2.00,1.11,1.89
Javor Ivanjica,31,25.6,,37,407,"3,330",37.0,32,25,57,31,1,1,92,6,0.86,0.68,1.54,0.84,1.51
Mladost Lučani,36,31.0,,37,407,"3,330",37.0,36,26,62,31,5,5,68,4,0.97,0.70,1.68,0.84,1.54
Napredak Kruš,36,27.6,,37,407,"3,330",37.0,35,28,63,33,2,2,84,0,0.95,0.76,1.70,0.89,1.65
Novi Pazar,40,25.8,,37,407,"3,330",37.0,44,28,72,38,6,7,94,6,1.19,0.76,1.95,1.03,1.78
Partizan,32,26.5,,37,407,"3,330",37.0,77,54,131,67,10,11,78,4,2.08,1.46,3.54,1.81,3.27
Radnički Kragujevac,37,25.9,,37,407,"3,330",37.0,66,47,113,61,5,7,109,4,1.78,1.27,3.05,1.65,2.92
Radnički Niš,40,25.4,,37,407,"3,330",37.0,39,31,70,35,4,5,78,1,1.05,0.84,1.89,0.95,1.78
Radnik Surdulica,33,24.7,,37,407,"3,330",37.0,23,14,37,19,4,4,75,2,0.62,0.38,1.00,0.51,0.89
Red Star,34,26.7,,37,407,"3,330",37.0,91,60,151,76,15,15,50,0,2.46,1.62,4.08,2.05,3.68
Spartak Subotic,38,24.9,,37,407,"3,330",37.0,35,26,61,34,1,4,62,4,0.95,0.70,1.65,0.92,1.62
TSC Bačka Top,26,26.8,,37,407,"3,330",37.0,75,55,130,69,6,8,87,2,2.03,1.49,3.51,1.86,3.35
Vojvodina,33,25.9,,37,407,"3,330",37.0,59,41,100,55,4,4,81,3,1.59,1.11,2.70,1.49,2.59
Voždovac,35,22.0,,37,407,"3,330",37.0,45,30,75,40,5,5,94,5,1.22,0.81,2.03,1.08,1.89
