Squad,Matches Played,Wins,Draws,Losses,Goals For,Goals Against,Goal Difference,Points,Points/Match,Notes

 Red Star,30,25,2,3,77,22,+55,77,2.57,→ Championship round 
 Partizan,30,22,4,4,66,35,+31,70,2.33,→ Championship round 
 TSC Bačka Top,30,17,9,4,57,29,+28,60,2.00,→ Championship round 
 Vojvodina,30,14,8,8,49,42,+7,50,1.67,→ Championship round 
 Radnički Kragujevac,30,16,2,12,46,46,0,50,1.67,→ Championship round 
 Čukarički,30,13,9,8,44,33,+11,48,1.60,→ Championship round 
 Mladost Lučani,30,11,7,12,30,40,-10,40,1.33,→ Championship round 
 Napredak Kruš,30,11,6,13,31,39,-8,39,1.30,→ Championship round 
,,,,,,,,,,
 Novi Pazar,30,10,6,14,35,40,-5,36,1.20,→ Relegation round 
 Spartak Subotic,30,10,4,16,29,44,-15,34,1.13,→ Relegation round 
 Radnički Niš,30,9,6,15,33,40,-7,33,1.10,→ Relegation round 
 FK IMT Novi Beograd,30,9,5,16,34,47,-13,32,1.07,→ Relegation round 
 Javor Ivanjica,30,9,4,17,28,45,-17,31,1.03,→ Relegation round 
 Voždovac,30,7,9,14,38,48,-10,30,1.00,→ Relegation round 
 FK Železničar Pančevo,30,7,5,18,34,59,-25,26,0.87,→ Relegation round 
 Radnik Surdulica,30,3,8,19,19,41,-22,17,0.57,→ Relegation round 
