Player,Age,Date,Record MV
Erling Haaland,24,01.10.2024,€200.00m
N/A,N/A,N/A,N/A
Vinicius Junior,24,11.10.2024,€200.00m
Kylian Mbappé,19,17.12.2018,€200.00m
Neymar,25,24.01.2018,€180.00m
Lionel Messi,30,01.01.2018,€180.00m
Raheem Sterling,25,10.12.2019,€160.00m
Lamine Yamal,17,11.10.2024,€150.00m
Phil Foden,23,27.05.2024,€150.00m
Sadio Mané,27,10.12.2019,€150.00m
Mohamed Salah,25,28.05.2018,€150.00m
Harry Kane,24,28.05.2018,€150.00m
Antoine Griezmann,27,31.10.2018,€150.00m
Eden Hazard,27,17.10.2018,€150.00m
Bukayo Saka,22,27.05.2024,€140.00m
Jadon Sancho,19,11.03.2020,€130.00m
Victor Osimhen,24,15.06.2023,€120.00m
Ousmane Dembélé,21,28.02.2019,€120.00m
Cristiano Ronaldo,29,22.10.2014,€120.00m
Rodrygo,23,07.06.2024,€110.00m
Lautaro Martínez,26,20.12.2023,€110.00m
Paulo Dybala,24,07.06.2018,€110.00m
João Félix,19,10.09.2019,€100.00m
Jack Grealish,26,05.10.2021,€100.00m
Leroy Sané,22,19.12.2018,€100.00m
Romelu Lukaku,25,16.07.2018,€100.00m
Mauro Icardi,25,20.12.2018,€100.00m
N/A,N/A,N/A,N/A
Julián Alvarez,23,19.12.2023,€90.00m
Rafael Leão,24,15.06.2023,€90.00m
Kai Havertz,19,05.06.2019,€90.00m
Marco Asensio,22,31.10.2018,€90.00m
Serge Gnabry,24,11.03.2020,€90.00m
Roberto Firmino,28,10.12.2019,€90.00m
Heung-min Son,28,17.12.2020,€90.00m
Luis Suárez,28,22.11.2015,€90.00m
Gareth Bale,26,15.07.2016,€90.00m
Robert Lewandowski,29,04.04.2018,€90.00m
Gabriel Martinelli,22,19.12.2023,€85.00m
Khvicha Kvaratskhelia,22,21.03.2023,€85.00m
Dušan Vlahović,22,15.03.2022,€85.00m
Marcus Rashford,23,18.03.2021,€85.00m
Randal Kolo Muani,24,22.06.2023,€80.00m
Luis Díaz,27,01.10.2024,€80.00m
Ansu Fati,17,08.10.2020,€80.00m
Gabriel Jesus,21,28.05.2018,€80.00m
Christopher Nkunku,24,09.06.2022,€80.00m
Timo Werner,24,11.03.2020,€80.00m
Sergio Agüero,29,28.05.2018,€80.00m
Ronaldinho,27,09.09.2007,€80.00m
Antony,22,15.09.2022,€75.00m
Alexander Isak,24,27.05.2024,€75.00m
Nicolas Pépé,24,12.09.2019,€75.00m
N/A,N/A,N/A,N/A
Lorenzo Insigne,27,20.12.2018,€75.00m
Pierre-Emerick Aubameyang,28,28.05.2018,€75.00m
Thomas Müller,26,16.10.2015,€75.00m
Gonzalo Higuaín,28,14.10.2016,€75.00m
Nico Williams,22,18.07.2024,€70.00m
Darwin Núñez,23,15.09.2022,€70.00m
Mikel Oyarzabal,23,05.01.2021,€70.00m
Federico Chiesa,23,15.07.2021,€70.00m
Viktor Gyökeres,26,08.10.2024,€70.00m
Alexandre Lacazette,28,13.06.2019,€70.00m
Alexis Sánchez,29,02.01.2018,€70.00m
Bradley Barcola,22,07.10.2024,€65.00m
Evan Ferguson,18,09.10.2023,€65.00m
Rasmus Højlund,20,09.10.2023,€65.00m
Michael Olise,22,09.10.2024,€65.00m
Jérémy Doku,21,19.12.2023,€65.00m
Richarlison,22,06.03.2020,€65.00m
Ollie Watkins,28,14.03.2024,€65.00m
Marcus Thuram,26,05.06.2024,€65.00m
Kingsley Coman,24,31.03.2021,€65.00m
Anthony Martial,22,02.01.2018,€65.00m
Álvaro Morata,25,02.01.2018,€65.00m
Ángel Di María,26,05.10.2014,€65.00m
Wayne Rooney,26,06.02.2012,€65.00m
Endrick,17,17.06.2024,€60.00m
N/A,N/A,N/A,N/A
Mykhaylo Mudryk,22,16.03.2023,€60.00m
Jonathan David,23,27.03.2023,€60.00m
Anthony Gordon,23,27.05.2024,€60.00m
Cody Gakpo,23,23.12.2022,€60.00m
Raphinha,26,13.06.2023,€60.00m
Takefusa Kubo,22,22.12.2023,€60.00m
Moussa Diaby,22,09.06.2022,€60.00m
Loïs Openda,24,27.03.2024,€60.00m
Diogo Jota,25,23.12.2021,€60.00m
Christian Pulisic,20,06.03.2019,€60.00m
Luka Jović,21,05.06.2019,€60.00m
Riyad Mahrez,27,13.08.2018,€60.00m
Edinson Cavani,26,22.07.2013,€60.00m
Diego Costa,29,22.03.2018,€60.00m
Radamel Falcao,26,10.01.2013,€60.00m
Karim Benzema,28,22.02.2016,€60.00m
Pedro Neto,24,14.03.2024,€55.00m
Memphis Depay,25,19.12.2019,€55.00m
Wilfried Zaha,26,12.09.2019,€55.00m
Douglas Costa,27,07.06.2018,€55.00m
Andriy Shevchenko,29,11.06.2006,€51.00m
Alejandro Garnacho,20,01.10.2024,€50.00m
Mathys Tel,18,18.10.2023,€50.00m
Savinho,20,07.06.2024,€50.00m
Benjamin Sesko,20,29.05.2024,€50.00m
N/A,N/A,N/A,N/A
João Pedro,23,01.10.2024,€50.00m
Santiago Gimenez,22,15.12.2023,€50.00m
Gonçalo Ramos,21,16.06.2023,€50.00m
Álex Baena,23,11.10.2024,€50.00m
Mason Greenwood,19,13.10.2020,€50.00m
Kaoru Mitoma,26,09.10.2023,€50.00m
Joshua Zirkzee,23,05.06.2024,€50.00m
Amine Gouiri,22,23.03.2022,€50.00m
Ferran Torres,20,05.03.2020,€50.00m
Arnaut Danjuma,25,21.03.2022,€50.00m
Tammy Abraham,22,10.12.2019,€50.00m
Jarrod Bowen,26,19.12.2023,€50.00m
Iñaki Williams,24,11.06.2019,€50.00m
Ivan Toney,27,16.03.2023,€50.00m
Patrik Schick,26,09.06.2022,€50.00m
Moussa Dembélé,23,13.03.2020,€50.00m
Hakim Ziyech,26,18.12.2019,€50.00m
Raúl Jiménez,28,09.03.2020,€50.00m
Lucas Ocampos,26,23.07.2020,€50.00m
Florian Thauvin,25,04.06.2018,€50.00m
Wissam Ben Yedder,29,13.03.2020,€50.00m
Rodrigo,27,15.07.2018,€50.00m
Paco Alcácer,26,02.10.2019,€50.00m
Suso,25,20.12.2018,€50.00m
Ciro Immobile,28,07.06.2018,€50.00m
N/A,N/A,N/A,N/A
Willian,30,19.12.2018,€50.00m
Franck Ribéry,26,17.01.2010,€50.00m
David Villa,28,27.08.2010,€50.00m
Fernando Torres,25,25.01.2010,€50.00m
Thierry Henry,28,14.06.2006,€50.00m
Brennan Johnson,22,09.10.2023,€48.00m
Hulk,27,03.03.2014,€48.00m
Robin van Persie,28,24.06.2012,€47.50m
Zlatan Ibrahimović,28,03.12.2009,€46.00m
Arda Güler,19,18.07.2024,€45.00m
Victor Boniface,23,09.10.2024,€45.00m
Johan Bakayoko,21,31.05.2024,€45.00m
Matheus Cunha,25,27.05.2024,€45.00m
David Neres,22,12.06.2019,€45.00m
Leon Bailey,20,04.04.2018,€45.00m
Malcom,21,20.03.2018,€45.00m
Hirving Lozano,25,23.03.2021,€45.00m
Dominic Calvert-Lewin,23,17.12.2020,€45.00m
Ángel Correa,27,21.03.2022,€45.00m
Dominic Solanke,27,01.10.2024,€45.00m
André Silva,25,01.06.2021,€45.00m
Federico Bernardeschi,24,12.10.2018,€45.00m
Sébastien Haller,25,12.09.2019,€45.00m
Felipe Anderson,26,12.09.2019,€45.00m
Thorgan Hazard,25,06.03.2019,€45.00m
N/A,N/A,N/A,N/A
Duván Zapata,28,08.10.2019,€45.00m
Ivan Perisic,28,29.12.2017,€45.00m
Ronaldo,28,04.10.2004,€45.00m
Mario Gómez,26,23.01.2012,€42.00m
Samuel Eto'o,27,26.01.2009,€42.00m
Estêvão,17,27.09.2024,€40.00m
Samu Aghehowa,19,21.03.2024,€40.00m
Vitor Roque,18,11.12.2023,€40.00m
Désiré Doué,19,07.10.2024,€40.00m
Nicolas Jackson,23,01.10.2024,€40.00m
Elye Wahi,20,16.10.2023,€40.00m
Yéremy Pino,19,21.03.2022,€40.00m
Karim Adeyemi,21,22.06.2023,€40.00m
Nico González,25,20.12.2023,€40.00m
Omar Marmoush,25,09.10.2024,€40.00m
Youssef En-Nesyri,24,10.06.2021,€40.00m
Bryan Mbeumo,24,27.05.2024,€40.00m
Ademola Lookman,26,05.06.2024,€40.00m
Maxi Gómez,22,11.06.2019,€40.00m
Moise Kean,19,06.06.2019,€40.00m
Krzysztof Piatek,23,01.03.2019,€40.00m
Donyell Malen,25,27.03.2024,€40.00m
Jonathan Ikoné,21,13.03.2020,€40.00m
Everton,23,15.08.2019,€40.00m
Allan Saint-Maximin,25,15.09.2022,€40.00m
N/A,N/A,N/A,N/A
Serhou Guirassy,27,18.10.2023,€40.00m
Gonçalo Guedes,21,01.01.2018,€40.00m
Adama Traoré,24,13.10.2020,€40.00m
Arkadiusz Milik,25,06.06.2019,€40.00m
Ante Rebić,25,05.06.2019,€40.00m
Michy Batshuayi,24,04.04.2018,€40.00m
Gerard Moreno,29,31.05.2021,€40.00m
Andrea Belotti,24,29.12.2017,€40.00m
Yannick Carrasco,23,24.01.2017,€40.00m
Julian Draxler,24,24.01.2018,€40.00m
Lucas Moura,26,13.06.2019,€40.00m
Pablo Sarabia,26,21.12.2018,€40.00m
Francesco Totti,30,19.04.2007,€40.00m
Arjen Robben,26,16.07.2010,€40.00m
Carlos Tevez,27,08.08.2011,€40.00m
Didier Drogba,29,04.02.2008,€40.00m
Ruud van Nistelrooy,28,04.10.2004,€40.00m
Pedro Gonçalves,23,27.12.2021,€38.00m
Joaquín Correa,25,12.12.2019,€38.00m
Alassane Plea,25,18.12.2018,€38.00m
Leandro Trossard,29,19.12.2023,€38.00m
Andrej Kramaric,27,05.06.2019,€38.00m
Nani,25,24.06.2012,€36.50m
Robinho,25,23.02.2009,€36.50m
Evanilson,24,06.06.2024,€35.00m
N/A,N/A,N/A,N/A
Jamie Gittens,20,09.10.2024,€35.00m
Jhon Durán,20,01.10.2024,€35.00m
Noni Madueke,22,01.10.2024,€35.00m
Brian Brobbey,22,31.05.2024,€35.00m
Martin Terrier,25,02.11.2022,€35.00m
Giacomo Raspadori,22,11.11.2022,€35.00m
Harvey Barnes,23,18.03.2021,€35.00m
Callum Hudson-Odoi,18,13.06.2019,€35.00m
Artem Dovbyk,26,07.06.2024,€35.00m
Cengiz Ünder,21,20.12.2018,€35.00m
Eddie Nketiah,24,19.12.2023,€35.00m
Gianluca Scamacca,25,05.06.2024,€35.00m
Milot Rashica,23,17.12.2019,€35.00m
Steven Bergwijn,21,12.06.2019,€35.00m
Miguel Almirón,29,16.03.2023,€35.00m
Gelson Martins,23,13.06.2018,€35.00m
Domenico Berardi,26,25.05.2021,€35.00m
Yussuf Poulsen,24,05.06.2019,€35.00m
Kevin Volland,27,02.10.2019,€35.00m
Jackson Martínez,28,01.07.2015,€35.00m
Christian Benteke,24,14.10.2015,€35.00m
Marko Arnautovic,29,19.12.2018,€35.00m
Alexandre Pato,20,27.01.2010,€35.00m
Arda Turan,27,23.01.2015,€35.00m
José Antonio Reyes,21,04.10.2004,€35.00m
N/A,N/A,N/A,N/A
Adriano,23,29.07.2005,€35.00m
Dimitar Berbatov,28,23.02.2009,€34.50m
Alex Iwobi,23,12.09.2019,€32.00m
Dries Mertens,30,29.12.2017,€32.00m
Mario Balotelli,21,24.06.2012,€32.00m
Edin Dzeko,25,06.02.2012,€32.00m
Shaun Wright-Phillips,23,11.09.2005,€31.50m
Kenan Yıldız,18,12.03.2024,€30.00m
Maghnes Akliouche,22,07.10.2024,€30.00m
Hugo Ekitiké,22,09.10.2024,€30.00m
Simon Adingra,22,14.03.2024,€30.00m
Maximilian Beier,21,29.05.2024,€30.00m
Armando Broja,21,03.11.2022,€30.00m
