Player,Market Value
erling-haaland,€200.00m
,
,
kylian-mbappe,€180.00m
,
,
phil-foden,€150.00m
,
,
bukayo-saka,€140.00m
,
,
lamine-yamal,€120.00m
,
,
harry-kane,€100.00m
,
,
rafael-leao,€90.00m
,
,
khvicha-kvaratskhelia,€80.00m
,
,
alexander-isak,€75.00m
,
,
kai-havertz,€75.00m
,
,
nico-williams,€70.00m
,
,
leroy-sane,€70.00m
,
,
rasmus-hojlund,€65.00m
,
,
jeremy-doku,€65.00m
,
,
dusan-vlahovic,€65.00m
,
,
christopher-nkunku,€65.00m
,
,
viktor-gyokeres,€65.00m
,
,
ollie-watkins,€65.00m
,
,
marcus-thuram,€65.00m
,
,
anthony-gordon,€60.00m
,
,
lois-openda,€60.00m
,
,
ousmane-dembele,€60.00m
,
,
marcus-rashford,€60.00m
,
,
michael-olise,€55.00m
,
,
pedro-neto,€55.00m
,
,
cody-gakpo,€55.00m
,
,
moussa-diaby,€55.00m
,
,
jack-grealish,€55.00m
,
,
bradley-barcola,€50.00m
,
,
benjamin-sesko,€50.00m
,
,
goncalo-ramos,€50.00m
,
,
joshua-zirkzee,€50.00m
,
,
diogo-jota,€50.00m
,
,
jarrod-bowen,€50.00m
,
,
ivan-toney,€50.00m
,
,
kingsley-coman,€50.00m
,
,
brennan-johnson,€48.00m
,
,
arda-guler,€45.00m
,
,
evan-ferguson,€45.00m
,
,
johan-bakayoko,€45.00m
,
,
randal-kolo-muani,€45.00m
,
,
mikel-oyarzabal,€45.00m
,
,
dominic-solanke,€45.00m
,
,
mathys-tel,€40.00m
,
,
alex-baena,€40.00m
,
,
donyell-malen,€40.00m
,
,
serge-gnabry,€40.00m
,
,
samu-omorodion,€35.00m
,
,
elye-wahi,€35.00m
,
,
noni-madueke,€35.00m
,
,
brian-brobbey,€35.00m
,
,
harvey-barnes,€35.00m
,
,
artem-dovbyk,€35.00m
,
,
gianluca-scamacca,€35.00m
,
,
leandro-trossard,€35.00m
,
,
raheem-sterling,€35.00m
,
,
pedro-goncalves,€32.00m
,
,
desire-doue,€30.00m
,
,
kenan-yildiz,€30.00m
,
,
maximilian-beier,€30.00m
,
,
yeremy-pino,€30.00m
,
,
mykhaylo-mudryk,€30.00m
,
,
jadon-sancho,€30.00m
,
,
ferran-torres,€30.00m
,
,
federico-chiesa,€30.00m
,
,
