Player,Market Value
william-saliba,€80.00m
,
,
ruben-dias,€80.00m
,
,
josko-gvardiol,€75.00m
,
,
alessandro-bastoni,€70.00m
,
,
trent-alexander-arnold,€70.00m
,
,
theo-hernandez,€60.00m
,
,
leny-yoro,€55.00m
,
,
nuno-mendes,€55.00m
,
,
micky-van-de-ven,€55.00m
,
,
ben-white,€55.00m
,
,
matthijs-de-ligt,€55.00m
,
,
levi-colwill,€50.00m
,
,
benjamin-pavard,€50.00m
,
,
federico-dimarco,€50.00m
,
,
antonio-silva,€45.00m
,
,
giorgio-scalvini,€45.00m
,
,
destiny-udogie,€45.00m
,
,
pedro-porro,€45.00m
,
,
goncalo-inacio,€45.00m
,
,
riccardo-calafiori,€45.00m
,
,
jules-kounde,€45.00m
,
,
pau-torres,€45.00m
,
,
marc-guehi,€45.00m
,
,
sven-botman,€45.00m
,
,
ibrahima-konate,€45.00m
,
,
dayot-upamecano,€45.00m
,
,
manuel-akanji,€45.00m
,
,
alejandro-grimaldo,€45.00m
,
,
jarrad-branthwaite,€42.00m
,
,
rico-lewis,€40.00m
,
,
alejandro-balde,€40.00m
,
,
castello-lukeba,€40.00m
,
,
ian-maatsen,€40.00m
,
,
nico-schlotterbeck,€40.00m
,
,
diogo-dalot,€40.00m
,
,
robin-le-normand,€40.00m
,
,
fikayo-tomori,€40.00m
,
,
lucas-hernandez,€40.00m
,
,
andreas-christensen,€40.00m
,
,
nathan-ake,€40.00m
,
,
max-kilman,€38.00m
,
,
jurrien-timber,€38.00m
,
,
john-stones,€38.00m
,
,
mohamed-simakan,€35.00m
,
,
malo-gusto,€35.00m
,
,
jean-clair-todibo,€35.00m
,
,
tino-livramento,€35.00m
,
,
reece-james,€35.00m
,
,
ezri-konsa,€35.00m
,
,
david-hancko,€35.00m
,
,
alessandro-buongiorno,€35.00m
,
,
axel-disasi,€35.00m
,
,
joachim-andersen,€35.00m
,
,
oleksandr-zinchenko,€35.00m
,
,
ilya-zabarnyi,€32.00m
,
,
lutsharel-geertruida,€32.00m
,
,
pau-cubarsi,€30.00m
,
,
jorrel-hato,€30.00m
,
,
cristhian-mosquera,€30.00m
,
,
benoit-badiashile,€30.00m
,
,
jakub-kiwior,€30.00m
,
,
ferdi-kadioglu,€30.00m
,
,
marc-cucurella,€30.00m
,
,
andrew-robertson,€30.00m
,
,
milan-skriniar,€30.00m
,
,
jonathan-tah,€30.00m
,
,
virgil-van-dijk,€30.00m
,
,
josip-stanisic,€28.00m
,
,
matty-cash,€28.00m
,
,
vitaliy-mykolenko,€28.00m
,
,
joe-gomez,€28.00m
,
,
luke-shaw,€28.00m
,
,
olivier-boscagli,€27.00m
,
,
michael-kayode,€25.00m
,
,
tyrick-mitchell,€25.00m
,
,
aaron-hickey,€25.00m
,
,
strahinja-pavlovic,€25.00m
,
,
radu-dragusin,€25.00m
,
,
miguel-gutierrez,€25.00m
,
,
dani-vivian,€25.00m
,
,
malick-thiaw,€25.00m
,
,
wesley-fofana,€25.00m
,
,
nathan-collins,€25.00m
,
,
andrea-cambiaso,€25.00m
,
,
perr-schuurs,€25.00m
,
,
mario-hermoso,€25.00m
,
,
kevin-danso,€25.00m
,
,
gianluca-mancini,€25.00m
,
,
jose-gaya,€25.00m
,
,
joao-cancelo,€25.00m
,
,
kurt-zouma,€25.00m
,
,
antonio-rudiger,€25.00m
,
,
denzel-dumfries,€24.00m
,
,
quilindschy-hartman,€23.00m
,
,
lewis-hall,€22.00m
,
,
jarell-quansah,€22.00m
,
,
aitor-paredes,€22.00m
,
,
jan-paul-van-hecke,€22.00m
,
,
taylor-harwood-bellis,€22.00m
,
,
igor-zubeldia,€22.00m
,
,
konstantinos-tsimikas,€22.00m
,
,
ben-chilwell,€22.00m
,
,
ferland-mendy,€22.00m
,
,
jack-hinshelwood,€20.00m
,
,
milos-kerkez,€20.00m
,
,
jacob-greaves,€20.00m
,
,
toti,€20.00m
,
,
pierre-kalulu,€20.00m
,
,
amar-dedic,€20.00m
,
,
isak-hien,€20.00m
,
,
aaron-wan-bissaka,€20.00m
,
,
eric-garcia,€20.00m
,
,
maxence-lacroix,€20.00m
,
,
konstantinos-mavropanos,€20.00m
,
,
julian-ryerson,€20.00m
,
,
arthur-theate,€20.00m
,
,
kyle-walker-peters,€20.00m
,
,
rico-henry,€20.00m
,
,
david-raum,€20.00m
,
,
wout-faes,€20.00m
,
,
issa-diop,€20.00m
,
,
tosin-adarabioyo,€20.00m
,
,
benjamin-henrichs,€20.00m
,
,
waldemar-anton,€20.00m
,
,
aymeric-laporte,€20.00m
,
,
david-alaba,€20.00m
,
,
adrien-truffert,€18.00m
,
,
zeno-debast,€18.00m
,
,
sepp-van-den-berg,€18.00m
,
,
federico-gatti,€18.00m
,
,
lloyd-kelly,€18.00m
,
,
sacha-boey,€18.00m
,
,
bafode-diakite,€18.00m
,
,
sam-beukema,€18.00m
,
,
nikola-milenkovic,€18.00m
,
,
anel-ahmedhodzic,€18.00m
,
,
jordan-teze,€18.00m
,
,
tyrell-malacia,€18.00m
,
,
robin-koch,€18.00m
,
,
mykola-matvienko,€18.00m
,
,
harry-maguire,€18.00m
,
,
neco-williams,€17.00m
