Player,Market Value
giorgi-mamardashvili,€45.00m
,
,
diogo-costa,€45.00m
,
,
gianluigi-donnarumma,€40.00m
,
,
gregor-kobel,€40.00m
,
,
mike-maignan,€38.00m
,
,
guglielmo-vicario,€35.00m
,
,
david-raya,€35.00m
,
,
unai-simon,€30.00m
,
,
jan-oblak,€28.00m
,
,
thibaut-courtois,€28.00m
,
,
marc-andre-ter-stegen,€28.00m
,
,
anatoliy-trubin,€25.00m
,
,
lucas-chevalier,€25.00m
,
,
andriy-lunin,€25.00m
,
,
alex-remiro,€25.00m
,
,
bart-verbruggen,€22.00m
,
,
aaron-ramsdale,€22.00m
,
,
jordan-pickford,€22.00m
,
,
filip-jorgensen,€20.00m
,
,
marcin-bulka,€20.00m
,
,
djordje-petrovic,€20.00m
,
,
robert-sanchez,€20.00m
,
,
caoimhin-kelleher,€20.00m
,
,
matvey-safonov,€20.00m
,
,
guillaume-restes,€18.00m
,
,
james-trafford,€18.00m
,
,
illan-meslier,€18.00m
,
,
diant-ramaj,€18.00m
,
,
michele-di-gregorio,€18.00m
,
,
marco-carnesecchi,€16.00m
,
,
nick-pope,€16.00m
,
,
gavin-bazunu,€15.00m
,
,
brice-samba,€15.00m
,
,
ivan-provedel,€14.00m
,
,
justin-bijlow,€13.00m
,
,
bernd-leno,€13.00m
,
,
anthony-patterson,€12.00m
,
,
alvaro-valles,€12.00m
,
,
kamil-grabara,€12.00m
,
,
dean-henderson,€12.00m
,
,
alex-meret,€12.00m
,
,
alexander-nubel,€12.00m
,
,
kepa-arrizabalaga,€12.00m
,
,
mark-flekken,€12.00m
,
,
maarten-vandevoordt,€11.00m
,
,
dominik-livakovic,€11.00m
,
,
noah-atubolu,€10.00m
,
,
altay-bayindir,€10.00m
,
,
pau-lopez,€10.00m
,
,
jose-sa,€10.00m
,
,
predrag-rajkovic,€10.00m
,
,
alphonse-areola,€10.00m
,
,
sam-johnstone,€10.00m
,
,
mads-hermansen,€9.00m
,
,
alban-lafont,€9.00m
,
,
mile-svilar,€9.00m
,
,
stefan-ortega,€9.00m
,
,
yehvann-diouf,€8.00m
,
,
josep-martinez,€8.00m
,
,
ugurcan-cakir,€8.00m
,
,
jean-butez,€8.00m
,
,
inaki-pena,€8.00m
,
,
rui-silva,€8.00m
,
,
dmytro-riznyk,€7.00m
,
,
matej-kovar,€7.00m
,
,
stefano-turati,€7.00m
,
,
arijanet-muric,€7.00m
,
,
dominik-kotarski,€7.00m
,
,
georgiy-bushchan,€7.00m
,
,
timon-wellenreuther,€7.00m
,
,
matz-sels,€7.00m
,
,
odysseas-vlachodimos,€7.00m
,
,
vladan-kovacevic,€6.00m
,
,
elia-caprile,€6.00m
,
,
arnaud-bodart,€6.00m
,
,
antonio-sivera,€6.00m
,
,
sergio-herrera,€6.00m
,
,
jonas-omlin,€6.00m
,
,
koen-casteels,€6.00m
,
,
james-beadle,€5.00m
,
,
julen-agirrezabala,€5.00m
,
,
pascal-loretz,€5.00m
,
,
vitezslav-jaros,€5.00m
,
,
arnau-tenas,€5.00m
,
,
luis-maximiano,€5.00m
,
,
omri-glazer,€5.00m
,
,
radoslaw-majecki,€5.00m
,
,
vanja-milinkovic-savic,€5.00m
,
,
emil-audero,€5.00m
,
,
philipp-kohn,€5.00m
,
,
finn-dahmen,€5.00m
,
,
wladimiro-falcone,€5.00m
,
,
david-soria,€5.00m
,
,
david-de-gea,€5.00m
,
,
yann-sommer,€5.00m
,
,
nediljko-labrovic,€4.50m
,
,
peter-vindahl,€4.50m
,
,
frederik-ronnow,€4.50m
,
,
jonas-urbig,€4.00m
,
,
konstantinos-tzolakis,€4.00m
,
,
gautier-larsonneur,€4.00m
,
,
pierluigi-gollini,€4.00m
,
,
