Player,Market Value
jude-bellingham,€180.00m
,
,
florian-wirtz,€130.00m
,
,
jamal-musiala,€130.00m
,
,
rodri,€130.00m
,
,
declan-rice,€120.00m
,
,
martin-odegaard,€110.00m
,
,
eduardo-camavinga,€100.00m
,
,
aurelien-tchouameni,€100.00m
,
,
gavi,€90.00m
,
,
cole-palmer,€90.00m
,
,
pedri,€80.00m
,
,
xavi-simons,€80.00m
,
,
nicolo-barella,€80.00m
,
,
dominik-szoboszlai,€75.00m
,
,
frenkie-de-jong,€70.00m
,
,
james-maddison,€70.00m
,
,
bernardo-silva,€70.00m
,
,
bruno-fernandes,€65.00m
,
,
warren-zaire-emery,€60.00m
,
,
eberechi-eze,€60.00m
,
,
dani-olmo,€60.00m
,
,
kobbie-mainoo,€55.00m
,
,
joao-neves,€55.00m
,
,
vitinha,€55.00m
,
,
amadou-onana,€55.00m
,
,
dejan-kulusevski,€55.00m
,
,
joao-palhinha,€55.00m
,
,
conor-gallagher,€50.00m
,
,
jeremie-frimpong,€50.00m
,
,
martin-zubimendi,€50.00m
,
,
teun-koopmeiners,€50.00m
,
,
mikel-merino,€50.00m
,
,
joshua-kimmich,€50.00m
,
,
hakan-calhanoglu,€45.00m
,
,
kevin-de-bruyne,€45.00m
,
,
matheus-nunes,€40.00m
,
,
ryan-gravenberch,€40.00m
,
,
morten-hjulmand,€40.00m
,
,
morgan-gibbs-white,€40.00m
,
,
joey-veerman,€40.00m
,
,
brais-mendez,€40.00m
,
,
julian-brandt,€40.00m
,
,
sandro-tonali,€38.00m
,
,
boubacar-kamara,€38.00m
,
,
romeo-lavia,€35.00m
,
,
georgiy-sudakov,€35.00m
,
,
oihan-sancet,€35.00m
,
,
harvey-elliott,€35.00m
,
,
khephren-thuram,€35.00m
,
,
curtis-jones,€35.00m
,
,
davide-frattesi,€35.00m
,
,
fabian-ruiz,€35.00m
,
,
mason-mount,€35.00m
,
,
adrien-rabiot,€35.00m
,
,
charles-de-ketelaere,€34.00m
,
,
jacob-ramsey,€32.00m
,
,
scott-mctominay,€32.00m
,
,
ruben-neves,€32.00m
,
,
aleksandar-pavlovic,€30.00m
,
,
adam-wharton,€30.00m
,
,
fermin-lopez,€30.00m
,
,
youssouf-fofana,€30.00m
,
,
enzo-millot,€30.00m
,
,
kiernan-dewsbury-hall,€30.00m
,
,
joao-felix,€30.00m
,
,
tijjani-reijnders,€30.00m
,
,
mats-wieffer,€30.00m
,
,
joe-willock,€30.00m
,
,
tomas-soucek,€30.00m
,
,
marcos-llorente,€30.00m
,
,
sergej-milinkovic-savic,€30.00m
,
,
aleksandr-golovin,€30.00m
,
,
youri-tielemans,€30.00m
,
,
konrad-laimer,€30.00m
,
,
john-mcginn,€30.00m
,
,
leon-goretzka,€30.00m
,
,
mateo-kovacic,€30.00m
,
,
hugo-larsson,€28.00m
,
,
quinten-timber,€28.00m
,
,
emile-smith-rowe,€28.00m
,
,
jerdy-schouten,€28.00m
,
,
mathias-jensen,€28.00m
,
,
manuel-locatelli,€28.00m
,
,
xaver-schlager,€28.00m
,
,
stanislav-lobotka,€28.00m
,
,
orkun-kokcu,€27.00m
,
,
oscar-gloukh,€25.00m
,
,
arthur-vermeeren,€25.00m
,
,
archie-gray,€25.00m
,
,
pablo-barrios,€25.00m
,
,
lesley-ugochukwu,€25.00m
,
,
gabri-veiga,€25.00m
,
,
rayan-cherki,€25.00m
,
,
matteo-guendouzi,€25.00m
,
,
angel-gomes,€25.00m
,
,
sean-longstaff,€25.00m
,
,
denis-zakaria,€25.00m
,
,
lorenzo-pellegrini,€25.00m
,
,
aleix-garcia,€25.00m
,
,
otavio,€25.00m
,
,
ruben-loftus-cheek,€25.00m
,
,
lewis-ferguson,€24.00m
,
,
lewis-miley,€22.00m
,
,
elliot-anderson,€22.00m
,
,
fabio-vieira,€22.00m
,
,
jesper-lindstrom,€22.00m
,
,
james-garner,€22.00m
,
,
morgan-rogers,€22.00m
,
,
samuele-ricci,€22.00m
,
,
kalvin-phillips,€22.00m
,
,
pepelu,€22.00m
,
,
vitaly-janelt,€22.00m
,
,
james-ward-prowse,€22.00m
,
,
piotr-zielinski,€22.00m
,
,
alex-scott,€20.00m
,
,
javi-guerra,€20.00m
,
,
benat-turrientes,€20.00m
,
,
manu-kone,€20.00m
,
,
matteo-ruggeri,€20.00m
,
,
martin-baturina,€20.00m
,
,
lazar-samardzic,€20.00m
,
,
eduard-spertsyan,€20.00m
,
,
angelo-stiller,€20.00m
,
,
nicolo-fagioli,€20.00m
,
,
felix-nmecha,€20.00m
,
,
matt-oriley,€20.00m
,
,
eljif-elmas,€20.00m
,
,
marcus-tavernier,€20.00m
,
,
maxence-caqueret,€20.00m
,
,
nicolo-zaniolo,€20.00m
,
,
lovro-majer,€20.00m
,
,
carlos-soler,€20.00m
,
,
florentino,€20.00m
,
,
sander-berge,€20.00m
,
,
orel-mangala,€20.00m
,
,
fredrik-aursnes,€20.00m
,
,
bryan-cristante,€20.00m
,
,
granit-xhaka,€20.00m
,
,
marcel-sabitzer,€20.00m
,
,
sebastian-szymanski,€19.00m
,
,
enzo-le-fee,€18.00m
,
,
edoardo-bove,€18.00m
,
,
fabio-carvalho,€18.00m
,
,
arsen-zakharyan,€18.00m
,
,
kristjan-asllani,€18.00m
,
,
nicolo-rovella,€18.00m
,
,
ivan-ilic,€18.00m
,
,
jean-ricner-bellegarde,€18.00m
,
,
billy-gilmour,€18.00m
,
,
oliver-skipp,€18.00m
,
,
andrea-colpani,€18.00m
,
,
christoph-baumgartner,€18.00m
,
,
philip-billing,€18.00m
,
,
benjamin-bourigeaud,€18.00m
,
,
pierre-emile-hojbjerg,€18.00m
,
,
christian-norgaard,€18.00m
,
,
marco-verratti,€18.00m
,
,
leandro-barreiro,€17.00m
,
,
robert-andrich,€17.00m
,
,
nicolas-seiwald,€16.00m
,
,
ethan-ampadu,€16.00m
,
,
marcelo-brozovic,€16.00m
,
,
alberto-moleiro,€15.00m
,
,
rodrigo-gomes,€15.00m
,
,
carney-chukwuemeka,€15.00m
,
,
tommaso-baldanzi,€15.00m
,
,
aimar-oroz,€15.00m
,
,
giannis-konstantelias,€15.00m
,
,
benat-prados,€15.00m
,
,
fabio-miretti,€15.00m
,
,
romain-faivre,€15.00m
,
,
morten-frendrup,€15.00m
,
,
luka-sucic,€15.00m
,
,
kenneth-taylor,€15.00m
,
,
nico-gonzalez,€15.00m
,
,
cameron-puertas,€15.00m
,
,
calvin-stengs,€15.00m
,
,
yacine-adli,€15.00m
,
,
albert-sambi-lokonga,€15.00m
,
,
andre-almeida,€15.00m
,
,
anton-stach,€15.00m
,
,
ivan-martin,€15.00m
,
,
