competition_name,gender,country,champion,top_scorer,season
Isuzu UTE A-League,M,AUS,Central Coast Mariners FC,Jamie Maclaren - 24,2022_2023
Admiral Bundesliga,M,AUT,FC Red Bull Salzburg,Guido Burgstaller - 21,2022_2023
Jupiler Pro League,M,BEL,Royal Antwerp FC,Hugo Cuypers - 20,2022_2023
efbet League,M,BUL,PFC Ludogorets Razgrad,Ivaylo Chochev - 21,2022_2023
SuperSport HNL,M,CRO,GNK Dinamo Zagreb,Marko Livaja - 19,2022_2023
Fortuna:Liga,M,CZE,,Václav Jurečka - 20,2022_2023
3F Superliga,M,DEN,FC Copenhagen,Gustav Isaksen - 18,2022_2023
Premier League,M,ENG,Manchester City FC,Erling Haaland - 36,2022_2023
LaLiga Santander,M,ESP,FC Barcelona,Robert Lewandowski - 23,2022_2023
Ligue 1 Uber Eats,M,FRA,Paris Saint-Germain FC,Kylian Mbappé - 29,2022_2023
Fußball-Bundesliga,M,GER,FC Bayern Munich,"Niclas Füllkrug, Christopher Nkunku - 16",2022_2023
Stoiximan Super League,M,GRE,AEK Athens FC,Cédric Bakambu - 18,2022_2023
OTP Bank Liga,M,HUN,Ferencvárosi TC,Barnabás Varga - 19,2022_2023
Hero Indian Super League,M,IND,Mohun Bagan AC,"Diego Maurício, Cleiton Silva - 12",2022_2023
Persian Gulf Pro League,M,IRN,Persepolis FC,Shahriar Moghanlou - 13,2022_2023
Serie A TIM,M,ITA,SSC Napoli,Victor Osimhen - 26,2022_2023
Roshn Saudi League,M,KSA,Al-Ittihad FC,Abderrazak Hamdallah - 21,2022_2023
Liga BBVA MX,M,MEX,"Pachuca (T), UANL (T)",Henry Martín - 24,2022_2023
Eredivisie,M,NED,Feyenoord Rotterdam,"Anastasios Douvikas, Xavi Simons - 19",2022_2023
PKO Bank Polski Ekstraklasa,M,POL,Raków Częstochowa,Marc Gual - 16,2022_2023
Liga Portugal Bwin,M,POR,SL Benfica,Mehdi Taremi - 22,2022_2023
SuperLiga,M,ROU,SSC Farul Constanța,Marko Dugandžić - 22,2022_2023
DStv Premiership,M,RSA,Mamelodi Sundowns FC,"Khanyisa Mayo, Peter Shalulile - 12",2022_2023
Mir Russian Premier League,M,RUS,FC Zenit Saint Petersburg,Malcom - 23,2022_2023
cinch Premiership,M,SCO,Celtic FC,Kyogo Furuhashi - 27,2022_2023
Mozzart Bet SuperLiga,M,SRB,Red Star Belgrade,Ricardo Jorge Pires Gomes - 19,2022_2023
Credit Suisse Super League,M,SUI,BSC Young Boys,Jean-Pierre Nsame - 21,2022_2023
Spor Toto Süper Lig,M,TUR,Galatasaray SK,Enner Valencia - 29,2022_2023
