nation_rank,nation_prev_rank,nation,confederation,points,season
1,1,Argentina,CONMEBOL,1851,2022_2023
2,2,France,UEFA,1841,2022_2023
3,5,Brazil,CONMEBOL,1838,2022_2023
4,4,England,UEFA,1794,2022_2023
5,6,Belgium,UEFA,1793,2022_2023
6,12,Croatia,UEFA,1748,2022_2023
7,7,Netherlands,UEFA,1743,2022_2023
8,8,Portugal,UEFA,1729,2022_2023
9,10,Italy,UEFA,1727,2022_2023
10,3,Spain,UEFA,1711,2022_2023
11,16,United States,CONCACAF,1679,2022_2023
12,17,Mexico,CONCACAF,1661,2022_2023
13,14,Morocco,CAF,1658,2022_2023
14,15,Switzerland,UEFA,1654,2022_2023
15,13,Germany,UEFA,1638,2022_2023
16,9,Colombia,CONMEBOL,1630,2022_2023
17,11,Uruguay,CONMEBOL,1627,2022_2023
18,21,Denmark,UEFA,1607,2022_2023
19,18,Japan,AFC,1605,2022_2023
20,19,Senegal,CAF,1597,2022_2023
21,20,Iran,AFC,1561,2022_2023
22,42,Peru,CONMEBOL,1552,2022_2023
23,29,Sweden,UEFA,1539,2022_2023
24,25,Ukraine,UEFA,1538,2022_2023
25,22,Austria,UEFA,1537,2022_2023
26,23,South Korea,AFC,1533,2022_2023
27,24,Australia,AFC,1532,2022_2023
28,32,Serbia,UEFA,1529,2022_2023
29,41,Tunisia,CAF,1525,2022_2023
30,28,Poland,UEFA,1525,2022_2023
31,48,Scotland,UEFA,1523,2022_2023
32,31,Hungary,UEFA,1518,2022_2023
33,30,Wales,UEFA,1511,2022_2023
34,46,Algeria,CAF,1510,2022_2023
35,36,Egypt,CAF,1509,2022_2023
36,43,Chile,CONMEBOL,1505,2022_2023
37,47,Czech Republic,UEFA,1500,2022_2023
38,27,Ecuador,CONMEBOL,1498,2022_2023
39,33,Russia,UEFA,1496,2022_2023
40,39,Nigeria,CAF,1489,2022_2023
41,51,Cameroon,CAF,1476,2022_2023
42,26,Turkey,UEFA,1475,2022_2023
43,50,Norway,UEFA,1471,2022_2023
44,40,Canada,CONCACAF,1459,2022_2023
45,35,Panama,CONCACAF,1452,2022_2023
46,49,Costa Rica,CONCACAF,1452,2022_2023
47,45,Romania,UEFA,1448,2022_2023
48,44,Slovakia,UEFA,1443,2022_2023
49,53,Mali,CAF,1442,2022_2023
50,38,Ivory Coast,CAF,1438,2022_2023
51,54,Greece,UEFA,1437,2022_2023
52,62,Paraguay,CONMEBOL,1432,2022_2023
53,37,Venezuela,CONMEBOL,1423,2022_2023
54,63,Finland,UEFA,1418,2022_2023
55,58,Republic of Ireland,UEFA,1416,2022_2023
56,59,Jamaica,CONCACAF,1414,2022_2023
57,56,Saudi Arabia,AFC,1413,2022_2023
58,67,Burkina Faso,CAF,1409,2022_2023
59,52,Slovenia,UEFA,1405,2022_2023
60,64,Ghana,CAF,1400,2022_2023
61,34,Qatar,AFC,1396,2022_2023
62,66,Albania,UEFA,1377,2022_2023
63,75,Bosnia and Herzegovina,UEFA,1370,2022_2023
64,60,Democratic Republic of the Congo,CAF,1370,2022_2023
65,57,South Africa,CAF,1368,2022_2023
66,72,North Macedonia,UEFA,1363,2022_2023
67,71,Iceland,UEFA,1352,2022_2023
68,73,Montenegro,UEFA,1349,2022_2023
69,55,Iraq,AFC,1347,2022_2023
70,69,United Arab Emirates,AFC,1342,2022_2023
71,65,Cape Verde,CAF,1337,2022_2023
72,78,Israel,UEFA,1336,2022_2023
73,76,Oman,AFC,1334,2022_2023
74,74,Northern Ireland,UEFA,1333,2022_2023
75,61,Uzbekistan,AFC,1328,2022_2023
76,81,El Salvador,CONCACAF,1307,2022_2023
77,79,Honduras,CONCACAF,1306,2022_2023
78,82,Bulgaria,UEFA,1301,2022_2023
79,70,Georgia,UEFA,1299,2022_2023
80,87,China,AFC,1297,2022_2023
81,77,Guinea,CAF,1293,2022_2023
82,92,Zambia,CAF,1290,2022_2023
83,89,Bolivia,CONMEBOL,1288,2022_2023
84,68,Jordan,AFC,1286,2022_2023
85,84,Luxembourg,UEFA,1274,2022_2023
86,80,Bahrain,AFC,1274,2022_2023
87,85,Haiti,CONCACAF,1271,2022_2023
88,83,Gabon,CAF,1271,2022_2023
89,95,Uganda,CAF,1260,2022_2023
90,86,Curaçao,CONCACAF,1259,2022_2023
91,97,Armenia,UEFA,1254,2022_2023
92,88,Equatorial Guinea,CAF,1249,2022_2023
93,93,Syria,AFC,1246,2022_2023
94,91,Benin,CAF,1245,2022_2023
95,115,Vietnam,AFC,1243,2022_2023
96,102,Kyrgyzstan,AFC,1229,2022_2023
97,96,Palestine,AFC,1224,2022_2023
98,100,Trinidad and Tobago,CONCACAF,1217,2022_2023
99,112,Mauritania,CAF,1207,2022_2023
100,109,Kazakhstan,UEFA,1207,2022_2023
101,116,Lebanon,AFC,1206,2022_2023
102,124,India,AFC,1205,2022_2023
103,107,Guatemala,CONCACAF,1200,2022_2023
104,94,New Zealand,OFC,1199,2022_2023
105,99,Belarus,UEFA,1198,2022_2023
