player,nation,position,squad,age,year_of_birth,matches_played,starts,minutes,90s_played,goals_against,goals_against/90,shots_on_target_against,saves,save_percentage,wins,draws,losses,clean_sheets,clean_sheet_percentage,penalty_kicks_attempted,penalty_kicks_allowed,penalty_kicks_saved,penalty_kicks_missed,save%_(penalty_kicks),league,season
Hendrik Bonmann,GER,GK,Wolfsberger AC,28,1994,31,31,"2,790",31.0,49.0,1.58,134.0,88.0,64.9,12.0,6.0,13.0,8.0,25.8,3.0,2.0,1.0,0.0,33.3,Austrian_Bundesliga,2022_2023
Tino Casali,AUT,GK,SCR Altach,26,1995,23,23,"2,070",23.0,38.0,1.65,108.0,73.0,67.6,6.0,6.0,11.0,4.0,17.4,3.0,3.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
Florian Faist,AUT,GK,Hartberg,33,1989,1,0,2,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Christian Früchtl,GER,GK,Austria Wien,22,2000,32,32,"2,835",31.5,52.0,1.65,142.0,96.0,67.6,11.0,10.0,11.0,5.0,15.6,6.0,6.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
Paul Gartler,AUT,GK,Rapid Wien,25,1997,1,1,90,1.0,1.0,1.0,8.0,7.0,87.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Niklas Hedl,AUT,GK,Rapid Wien,21,2001,31,31,"2,790",31.0,46.0,1.48,116.0,75.0,64.7,12.0,5.0,14.0,7.0,22.6,5.0,5.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
Ammar Helac,AUT,GK,SC Austria Lustenau,24,1998,3,3,270,3.0,7.0,2.33,16.0,9.0,56.3,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Andreas Jungdal,DEN,GK,SCR Altach,20,2002,6,6,540,6.0,10.0,1.67,25.0,15.0,60.0,0.0,2.0,4.0,1.0,16.7,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Marco Knaller,AUT,GK,SK Austria Klagenfurt,35,1987,2,2,180,2.0,6.0,3.0,18.0,12.0,66.7,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Philipp Köhn,SUI,GK,RB Salzburg,24,1998,32,31,"2,847",31.6,21.0,0.66,90.0,71.0,78.9,22.0,8.0,1.0,16.0,51.6,3.0,2.0,0.0,1.0,0.0,Austrian_Bundesliga,2022_2023
Mirko Kos,AUT,GK,Austria Wien,25,1997,1,0,45,0.5,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Tobias Lawal,AUT,GK,LASK,22,2000,7,7,630,7.0,9.0,1.29,25.0,16.0,64.0,3.0,2.0,2.0,1.0,14.3,1.0,0.0,0.0,1.0,,Austrian_Bundesliga,2022_2023
Phillip Menzel,GER,GK,SK Austria Klagenfurt,23,1998,30,30,"2,700",30.0,57.0,1.9,141.0,92.0,63.8,11.0,5.0,14.0,4.0,13.3,8.0,6.0,2.0,0.0,25.0,Austrian_Bundesliga,2022_2023
Jakob Odehnal,AUT,GK,SCR Altach,20,2001,3,3,270,3.0,5.0,1.67,13.0,8.0,61.5,0.0,2.0,1.0,1.0,33.3,0.0,0.0,0.0,0.0,,Austrian_Bundesliga,2022_2023
Arthur Okonkwo,ENG,GK,Sturm Graz,20,2001,15,15,"1,350",15.0,18.0,1.2,48.0,31.0,64.6,10.0,0.0,5.0,4.0,26.7,1.0,1.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
Ferdinand Oswald,GER,GK,WSG Tirol,31,1990,27,27,"2,430",27.0,47.0,1.74,137.0,94.0,68.6,8.0,6.0,13.0,4.0,14.8,4.0,4.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
Benjamin Ozegovic,AUT,GK,WSG Tirol,22,1999,5,5,450,5.0,6.0,1.2,11.0,6.0,54.5,2.0,2.0,1.0,1.0,20.0,1.0,1.0,0.0,0.0,0.0,Austrian_Bundesliga,2022_2023
