player,nation,position,squad,age,year_of_birth,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,league,season,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
Kurt Abrahams,RSA,"FW,MF",Novi Pazar,26,1996,0.6,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Sadick Abubakar,GHA,DF,Radnik Surdulica,25,1998,23.8,10,1,1,,,,,,,,,1,Serbian_SuperLiga,2023_2024,,,,
Miloš Adamović,SRB,"DF,MF",Javor Ivanjica,35,1988,0.6,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Edmund Addo,GHA,MF,Radnički Niš,23,2000,12.7,5,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Adetunji Adeshina,NGA,MF,Novi Pazar,18,2004,21.2,7,1,1,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Sunday Adetunji,NGA,FW,Čukarički,25,1997,5.3,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Emmanuel Adimchukwunobi,NGA,MF,FK IMT Novi Beograd,17,2005,0.0,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Bojan Adžić,MNE,DF,Radnički Kragujevac,19,2003,12.0,5,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Luka Adžić,SRB,MF,Čukarički,24,1998,18.1,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Matteo Ahlinvi,BEN,MF,Čukarički,24,1999,0.7,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Edin Ajdinović,SRB,MF,FK IMT Novi Beograd,22,2001,0.5,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Milan Aleksić,SRB,FW,Radnički Kragujevac,17,2005,16.8,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Ognjen Alempijevic,SRB,FW,Mladost Lučani,16,2007,1.2,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nikola Andrić,SRB,DF,Novi Pazar,31,1992,5.6,4,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nikola Andrić,SRB,DF,Mladost Lučani,31,1992,6.0,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nikola Andrić,SRB,MF,Mladost Lučani,23,2000,7.6,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Ebenezer Annan,GHA,DF,Novi Pazar,20,2002,26.5,6,2,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Izuchuckwu Anthony,NGA,"DF,FW",Radnički Kragujevac,25,1997,7.0,4,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nikola Antić,SRB,DF,Partizan,29,1994,34.7,4,1,1,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Goran Antonić,SRB,DF,TSC Bačka Top,32,1990,21.6,6,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Filip Antonijević,SRB,DF,Voždovac,23,2000,9.8,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Jovan Anđelković,SRB,FW,Radnik Surdulica,19,2004,10.7,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Veljko Arizanović,nan,DF,Radnik Surdulica,,,0.1,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Željko Arsić,SRB,FW,FK IMT Novi Beograd,26,1997,3.0,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Irakli Azarov,GEO,DF,Red Star,21,2002,0.2,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Emir Azemović,MNE,DF,Novi Pazar,26,1997,30.3,4,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Ilija Babić,SRB,FW,Voždovac,20,2002,0.3,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Ilija Babić,SRB,FW,Spartak Subotic,20,2002,14.0,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Siniša Babić,SRB,FW,Napredak Kruš,32,1991,3.0,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Muhammed Badamosi,GAM,FW,Čukarički,24,1998,3.7,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Mihajlo Baić,SRB,FW,Radnik Surdulica,20,2002,1.3,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Vladimir Bajić,SRB,GK,Napredak Kruš,35,1987,7.2,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Vasilije Bakić,SRB,DF,Radnički Niš,23,2000,12.3,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Bojan Balaž,SRB,DF,FK Železničar Pančevo,22,2001,13.2,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Lazar Balević,SRB,GK,Napredak Kruš,15,2007,3.0,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Stefan Bastaja,SRB,MF,FK IMT Novi Beograd,18,2005,0.5,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nebojša Bastajić,SRB,MF,Napredak Kruš,32,1990,19.6,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Loué Bayéré,CIV,FW,Javor Ivanjica,22,2001,6.9,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Samed Baždar,SRB,FW,Partizan,19,2004,10.5,3,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nemanja Belaković,SRB,MF,Radnički Niš,26,1997,22.5,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Kristijan Belic,SRB,MF,Partizan,22,2001,16.5,3,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Nemanja Belić,SRB,GK,Čukarički,36,1987,5.0,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Kilian Bevis,GLP,FW,Radnički Kragujevac,25,1998,26.0,5,1,1,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Luka Bijelovic,SRB,FW,Spartak Subotic,22,2001,16.7,1,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Boston Billups,USA,MF,FK IMT Novi Beograd,17,2005,0.4,0,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Marko Bjeković,SRB,DF,Vojvodina,22,2000,10.2,2,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
Andrej Blagojević,SRB,MF,Napredak Kruš,21,2002,13.2,3,0,0,,,,,,,,,0,Serbian_SuperLiga,2023_2024,,,,
