squad,#_of_players,90s_played,tackles,tackles_won,tackles_(def_3rd),tackles_(mid_3rd),tackles_(att_3rd),dribblers_tackled,dribbles_challenged,%_of_dribblers_tackled,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tkl+int,clearances,errors,league,season
Atalanta,29,38,613,369,273,249,91,291,597,48,306,483,119,364,340,953,614,7,Serie_A,2023_2024
Bologna,28,38,633,385,299,267,67,303,579,52,276,426,113,313,258,891,677,17,Serie_A,2023_2024
Cagliari,29,38,540,315,272,203,65,264,525,50,261,373,113,260,265,805,816,12,Serie_A,2023_2024
Empoli,34,38,618,378,311,227,80,300,564,53,264,462,154,308,263,881,840,9,Serie_A,2023_2024
Fiorentina,30,38,564,320,242,231,91,275,512,53,237,388,81,307,236,800,509,8,Serie_A,2023_2024
Frosinone,34,38,545,322,244,225,76,253,525,48,272,439,143,296,241,786,789,14,Serie_A,2023_2024
Genoa,34,38,625,352,315,247,63,283,571,49,288,462,162,300,332,957,796,11,Serie_A,2023_2024
Hellas Verona,36,38,621,387,302,245,74,293,578,50,285,414,133,281,302,923,784,15,Serie_A,2023_2024
Inter,27,38,540,321,252,219,69,234,474,49,240,365,116,249,280,820,576,7,Serie_A,2023_2024
Juventus,31,38,577,369,270,233,74,264,445,59,181,375,124,251,253,830,725,4,Serie_A,2023_2024
Lazio,22,38,581,348,259,254,68,283,618,45,335,430,122,308,295,876,640,7,Serie_A,2023_2024
Lecce,26,38,605,374,285,252,68,289,566,51,277,429,117,312,308,913,751,8,Serie_A,2023_2024
Milan,35,38,576,333,274,232,70,273,521,52,248,367,146,221,252,828,548,16,Serie_A,2023_2024
Monza,31,38,565,334,307,195,63,266,484,55,218,378,151,227,279,844,642,8,Serie_A,2023_2024
Napoli,29,38,571,326,235,237,99,263,554,47,291,351,92,259,241,812,521,5,Serie_A,2023_2024
Roma,30,38,569,336,261,229,79,249,535,46,286,370,132,238,242,811,623,16,Serie_A,2023_2024
Salernitana,39,38,536,327,289,198,49,257,519,49,262,409,161,248,279,815,816,12,Serie_A,2023_2024
Sassuolo,30,38,507,310,241,198,68,245,531,46,286,402,143,259,267,774,767,14,Serie_A,2023_2024
