squad,#_of_players,90s_played,passes_completed,passes_attempted,pass_completion_%,total_passing_distance,progressive_passing_distance,passes_completed_(short),passes_attempted_(short),pass_completion_%_(short),passes_completed_(medium),passes_attempted_(medium),pass_completion_%_(medium),passes_completed_(long),passes_attempted_(long),pass_completion_%_(long),assists,xag:_exp._assisted_goals,xa:_expected_assists,assists_-_xag,key_passes,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,league,season
Arouca,31,34,13911,17348,80,254209,90188,5780,6488,89,6322,7260,87,1537,2768,55,38,32,27,5,332,1040,217,56,1317,Primeira_Liga,2023_2024
Benfica,34,34,17244,20589,83,289741,101234,8474,9361,90,6851,7778,88,1495,2396,62,59,59,58,0,455,1509,424,75,1880,Primeira_Liga,2023_2024
Boavista,23,34,11747,15162,77,220400,80189,4863,5541,87,5184,6054,85,1439,2813,51,18,24,22,-6,242,841,195,83,1008,Primeira_Liga,2023_2024
Braga,25,34,15375,18817,81,280854,100241,6381,7127,89,6919,7798,88,1696,2966,57,49,48,44,0,422,1291,382,112,1678,Primeira_Liga,2023_2024
Casa Pia,32,34,10877,14094,77,198436,79271,4751,5423,87,4736,5551,85,1183,2413,49,27,19,21,7,256,877,165,55,985,Primeira_Liga,2023_2024
Chaves,31,34,10054,13419,74,191781,77406,4192,4877,86,4215,5065,83,1389,2716,51,18,22,22,-4,268,769,157,74,925,Primeira_Liga,2023_2024
Estoril,31,34,12142,15367,79,228158,82076,4855,5565,87,5628,6507,86,1408,2554,55,27,26,25,0,281,875,203,51,1060,Primeira_Liga,2023_2024
Estrela,34,34,11061,14750,75,210850,84151,4434,5279,84,5054,6040,83,1371,2681,51,18,29,27,-11,281,777,219,67,1057,Primeira_Liga,2023_2024
Famalicão,27,34,11238,14426,77,228716,86213,4055,4718,85,5130,5967,86,1838,3025,60,23,24,24,-1,316,822,207,107,976,Primeira_Liga,2023_2024
Farense,25,34,9386,13093,71,191166,75812,3328,4026,82,4425,5375,82,1464,3009,48,26,27,22,-1,260,769,185,72,944,Primeira_Liga,2023_2024
Gil Vicente FC,31,34,12524,16065,78,228900,82263,5114,5925,86,5807,6806,85,1314,2487,52,28,25,26,2,271,820,209,37,1144,Primeira_Liga,2023_2024
Moreirense,29,34,11609,14914,77,217860,82989,4737,5459,86,5294,6138,86,1350,2596,52,30,25,21,4,297,816,194,72,1054,Primeira_Liga,2023_2024
Portimonense,31,34,10389,13854,75,196527,77344,4227,4947,85,4593,5481,83,1290,2611,49,30,23,20,6,273,782,178,74,976,Primeira_Liga,2023_2024
Porto,32,34,16207,19449,83,293647,97602,6826,7672,89,7471,8324,89,1632,2600,62,46,46,57,0,430,1425,407,95,1869,Primeira_Liga,2023_2024
Rio Ave,33,34,12306,15665,78,229619,83476,4928,5704,86,5663,6566,86,1448,2583,56,22,25,24,-3,250,800,219,74,1085,Primeira_Liga,2023_2024
Sporting CP,29,34,16356,19452,84,275295,97248,7904,8649,91,6873,7791,88,1239,2134,58,67,55,52,11,431,1481,374,89,1669,Primeira_Liga,2023_2024
Vitória,27,34,11319,15030,75,207172,85898,4900,5756,85,4798,5871,81,1324,2531,52,35,32,32,2,336,1002,289,88,1361,Primeira_Liga,2023_2024
Vizela,31,34,12050,15405,78,210202,85979,5678,6410,88,4782,5659,84,1248,2445,51,25,28,30,-3,317,993,251,93,1244,Primeira_Liga,2023_2024
