squad,#_of_players,average_age,possession,matches_played,starts,minutes,90s_played,goals,assists,goals_+_assists,non-penalty_goals,penalty_kicks_made,penalty_kicks_attempted,yellow_cards,red_cards,goals/90,assists/90,goals_+_assists/90,non-penalty_goals/90,npxg_+_xag/90,league,season,xg:_expected_goals,npxg:_non-penalty_xg,xag:_exp._assisted_goals,npxg_+_xag,progressive_carries,progressive_passes,non-penalty_goals_+_assists/90,xg/90,xag/90,xg_+_xag/90,npxg/90
Adana Demirspor,44,28,51.0,38,418,3420,38,53,30.0,83.0,45,8,8,81,8,1,0.0,2.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Alanyaspor,25,28,52.0,38,418,3420,38,52,30.0,82.0,47,5,7,87,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Ankaragücü,31,27,48.0,38,418,3420,38,45,30.0,75.0,41,4,5,67,3,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Antalyaspor,27,29,51.0,38,418,3420,38,43,33.0,76.0,39,4,5,78,4,1,0.0,2.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Başakşehir,35,28,53.0,38,418,3420,38,55,36.0,91.0,50,5,6,84,5,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Beşiktaş,37,27,55.0,38,418,3420,38,51,37.0,88.0,48,3,6,92,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Fatih Karagümrük,35,28,50.0,38,418,3420,38,47,37.0,84.0,45,2,3,96,7,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Fenerbahçe,33,28,57.0,38,418,3420,38,95,64.0,159.0,83,12,17,96,5,2,1.0,4.0,2,3.0,Super_Lig,2023_2024,,,,,,,,,,,
Galatasaray,32,28,61.0,38,418,3420,38,90,59.0,149.0,79,11,13,66,1,2,1.0,3.0,2,3.0,Super_Lig,2023_2024,,,,,,,,,,,
Gaziantep FK,30,29,42.0,38,418,3420,38,48,33.0,81.0,45,3,6,85,4,1,0.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Hatayspor,33,25,47.0,38,418,3420,38,44,29.0,73.0,39,5,7,106,1,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
İstanbulspor,34,26,46.0,38,418,3420,38,28,18.0,46.0,27,1,3,94,6,0,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Kasımpaşa,32,27,47.0,38,418,3420,38,59,39.0,98.0,54,5,6,70,2,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Kayserispor,33,28,52.0,38,418,3420,38,42,28.0,70.0,37,5,6,84,4,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Konyaspor,36,28,46.0,38,418,3420,38,40,24.0,64.0,31,9,9,75,2,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Pendikspor,35,29,50.0,38,418,3420,38,42,28.0,70.0,37,5,7,89,6,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Rizespor,29,25,47.0,38,418,3420,38,47,39.0,86.0,46,1,2,91,3,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Samsunspor,33,27,47.0,38,418,3420,38,41,24.0,65.0,34,7,8,80,3,1,0.0,1.0,0,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Sivasspor,34,29,41.0,38,418,3420,38,46,29.0,75.0,41,5,5,78,3,1,0.0,1.0,1,1.0,Super_Lig,2023_2024,,,,,,,,,,,
Trabzonspor,33,26,52.0,38,418,3420,38,66,44.0,110.0,62,4,4,65,1,1,1.0,2.0,1,2.0,Super_Lig,2023_2024,,,,,,,,,,,
Aalborg,30,25,48.0,32,352,2880,32,34,23.0,57.0,33,1,2,55,0,1,0.0,1.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
AGF,28,26,48.0,32,352,2880,32,42,24.0,66.0,36,6,6,63,3,1,0.0,2.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Brøndby,30,25,51.0,32,352,2880,32,47,28.0,75.0,42,5,5,64,4,1,0.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
FC Copenhagen,32,24,56.0,32,352,2880,32,59,34.0,93.0,54,5,9,80,1,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Horsens,25,26,42.0,32,352,2880,32,31,18.0,49.0,24,7,7,63,3,0,0.0,1.0,0,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Lyngby,31,25,45.0,32,352,2880,32,30,25.0,55.0,28,2,2,70,1,0,0.0,1.0,0,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Midtjylland,33,25,50.0,32,352,2880,32,53,35.0,88.0,48,5,7,60,3,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Nordsjælland,28,22,54.0,32,352,2880,32,50,35.0,85.0,46,4,6,62,4,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Odense,35,25,50.0,32,352,2880,32,46,31.0,77.0,38,8,9,59,4,1,0.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Randers,31,26,48.0,32,352,2880,32,39,24.0,63.0,37,2,3,59,1,1,0.0,1.0,1,1.0,Danish_Superliga,2022_2023,,,,,,,,,,,
Silkeborg,30,25,58.0,32,352,2880,32,42,33.0,75.0,40,2,4,36,1,1,1.0,2.0,1,2.0,Danish_Superliga,2022_2023,,,,,,,,,,,
